"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01001","0","10","70","0","1990","A","","Autauga County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",617,7871,144816773,0,0,354,18399,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",14,2.3,77,1.0,5364589,3.8,-50772807,-100.0,-569798,-100.0,10,2.9,507,2.8
"01001","1","10","71","0","1990","A","","Autauga County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,85,1949490,0,0,442,23003,"",2.34,0.36,0.35,0.00,0.00,0.97,0.97,"",2,22.2,10,13.3,248329,14.6,0,0.0,0,0.0,6,1.4,321,1.4
"01001","1","102","72","0","1990","A","","Autauga County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,85,1949490,0,0,442,23003,"",2.36,0.38,0.37,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","1021","73","0","1990","A","","Autauga County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.23,0.88,0.95,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","1028","73","0","1990","A","","Autauga County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,21,326268,0,0,295,15354,"",2.47,0.17,0.11,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","48-49","74","0","1990","A","","Autauga County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.30,0.97,1.01,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","491","75","0","1990","A","","Autauga County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.35,1.02,1.07,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","4911","76","0","1990","A","","Autauga County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.35,1.02,1.07,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","49111","77","0","1990","A","","Autauga County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.35,1.02,1.07,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","491110","78","0","1990","A","","Autauga County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,61,1593175,0,0,504,26189,"",2.35,1.02,1.07,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","92","74","0","1990","A","","Autauga County, Alabama","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,21,326268,0,0,295,15354,"",2.47,0.17,0.11,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","922","75","0","1990","A","","Autauga County, Alabama","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,8670,0,0,400,20808,"",5.75,0.00,0.04,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","9221","76","0","1990","A","","Autauga County, Alabama","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,8670,0,0,400,20808,"",5.75,0.00,0.04,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","1","924","75","0","1990","A","","Autauga County, Alabama","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,136847,0,0,445,23129,"",3.12,0.73,0.72,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
