"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01007","0","10","70","0","1990","A","","Bibb County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",271,3923,58081069,0,0,285,14806,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,3.4,70,1.8,4604608,8.6,-23788000,-100.0,-533687,-100.0,19,7.1,927,6.7
"01007","1","10","71","0","1990","A","","Bibb County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,99,2026450,0,0,395,20538,"",3.88,0.85,0.92,0.00,0.00,1.08,1.08,"",1,14.3,5,5.3,185436,10.1,0,0.0,0,0.0,19,5.1,953,4.9
"01007","1","102","72","0","1990","A","","Bibb County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,99,2026450,0,0,395,20538,"",3.90,0.89,0.96,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","1021","73","0","1990","A","","Bibb County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",3.81,0.95,1.08,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","1028","73","0","1990","A","","Bibb County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,57,1035204,0,0,349,18135,"",3.75,0.95,0.90,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","48-49","74","0","1990","A","","Bibb County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",3.93,1.05,1.14,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","491","75","0","1990","A","","Bibb County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",4.01,1.11,1.21,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","4911","76","0","1990","A","","Bibb County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",4.01,1.11,1.21,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","49111","77","0","1990","A","","Bibb County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",4.01,1.11,1.21,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","1","491110","78","0","1990","A","","Bibb County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,33,723469,0,0,421,21868,"",4.01,1.11,1.21,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
