"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01099","0","10","70","0","1990","A","","Monroe County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",483,10253,213788761,0,0,401,20851,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,1.0,1056,11.5,43960717,25.9,-67038817,-100.0,-1502324,-100.0,46,13.0,2386,12.9
"01099","1","10","71","0","1990","A","","Monroe County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,64,1383012,0,0,418,21751,"",2.72,0.21,0.17,0.00,0.00,0.81,0.81,"",1,11.1,1,1.6,76371,5.8,0,0.0,0,0.0,20,5.0,1011,4.9
"01099","1","102","72","0","1990","A","","Monroe County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,64,1383012,0,0,418,21751,"",2.74,0.22,0.18,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","1021","73","0","1990","A","","Monroe County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,46,1047840,0,0,436,22656,"",2.85,0.51,0.42,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","1023","73","0","1990","A","","Monroe County, Alabama","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,97835,0,0,418,21741,"",6.76,1.46,1.02,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","1028","73","0","1990","A","","Monroe County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,237337,0,0,356,18494,"",2.63,0.08,0.06,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","48-49","74","0","1990","A","","Monroe County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,46,1047840,0,0,436,22656,"",2.94,0.56,0.45,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","491","75","0","1990","A","","Monroe County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,46,1047840,0,0,436,22656,"",3.00,0.59,0.48,0.00,0.00,0.81,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","4911","76","0","1990","A","","Monroe County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,46,1047840,0,0,436,22656,"",3.00,0.59,0.48,0.00,0.00,0.81,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","1","49111","77","0","1990","A","","Monroe County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,46,1047840,0,0,436,22656,"",3.00,0.59,0.48,0.00,0.00,0.81,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
