"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01105","0","10","70","0","1990","A","","Perry County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",195,2922,39428196,0,0,259,13492,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.5,-39,-1.3,2964984,8.1,-15339320,-100.0,-473645,-100.0,23,9.7,1178,9.6
"01105","1","10","71","0","1990","A","","Perry County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,47,1072649,0,0,440,22904,"",5.39,0.54,0.72,0.00,0.00,1.32,1.32,"",1,14.3,3,6.8,96061,9.8,0,0.0,0,0.0,14,3.3,709,3.2
"01105","1","102","72","0","1990","A","","Perry County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,47,1072649,0,0,440,22904,"",5.42,0.57,0.75,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","1021","73","0","1990","A","","Perry County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.30,0.82,1.15,0.00,0.00,1.41,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","1028","73","0","1990","A","","Perry County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,473566,0,0,425,22112,"",5.22,0.47,0.61,0.00,0.00,1.28,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","48-49","74","0","1990","A","","Perry County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.46,0.90,1.21,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","491","75","0","1990","A","","Perry County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.57,0.95,1.29,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","4911","76","0","1990","A","","Perry County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.57,0.95,1.29,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","49111","77","0","1990","A","","Perry County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.57,0.95,1.29,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01105","1","491110","78","0","1990","A","","Perry County, Alabama","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,21,522713,0,0,477,24793,"",5.57,0.95,1.29,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
