"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02280","0","10","70","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",274,2609,68375158,0,0,504,26205,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.5,126,5.1,3403528,5.2,-34060879,-100.0,-1830869,-100.0,1,0.2,39,0.1
"02280","1","10","71","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,198,6481101,0,0,630,32747,"",4.79,2.56,2.49,0.00,0.00,0.97,0.97,"",0,0.0,19,10.6,960085,17.4,0,0.0,0,0.0,37,6.2,1904,6.2
"02280","1","102","72","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,198,6481101,0,0,630,32747,"",4.82,2.67,2.61,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","1021","73","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,18,573236,0,0,599,31126,"",6.29,0.78,0.73,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","1028","73","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,179,5855996,0,0,629,32730,"",4.64,4.48,4.34,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","48-49","74","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,18,573236,0,0,599,31126,"",6.48,0.86,0.77,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","488","75","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2,110576,0,0,1063,55288,"",146.62,2.77,3.14,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","4881","76","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,2,110576,0,0,1063,55288,"",148.09,2.89,3.24,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","48811","77","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,110576,0,0,1063,55288,"",148.09,2.89,3.24,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02280","1","488111","78","0","1990","A","","Wrangell-Petersburg Census Area, Alaska","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,110576,0,0,1063,55288,"",150.61,3.04,3.27,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
