"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"04005","0","10","70","0","1990","A","","Coconino County, Arizona","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2391,39793,697520575,0,0,337,17529,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",99,4.3,1349,3.5,45607226,7.0,-181886722,-100.0,-2155268,-100.0,11,3.4,572,3.4
"04005","1","10","71","0","1990","A","","Coconino County, Arizona","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,2861,72646506,0,0,488,25389,"",1.10,2.43,2.74,0.00,0.00,1.13,1.13,"",-2,-9.1,13,0.5,3923453,5.7,0,0.0,0,0.0,24,5.2,1259,5.2
"04005","1","102","72","0","1990","A","","Coconino County, Arizona","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,2861,72646506,0,0,488,25389,"",1.11,2.53,2.86,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1021","73","0","1990","A","","Coconino County, Arizona","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,244,6739985,0,0,531,27604,"",0.29,0.70,0.84,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1023","73","0","1990","A","","Coconino County, Arizona","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,75,1645226,0,0,422,21936,"",1.37,5.66,5.28,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1024","73","0","1990","A","","Coconino County, Arizona","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,176,5116728,0,0,559,29072,"",4.76,6.81,8.92,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1025","73","0","1990","A","","Coconino County, Arizona","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,377,10009627,0,0,510,26539,"",5.41,3.89,4.52,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1026","73","0","1990","A","","Coconino County, Arizona","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,380,9188427,0,0,466,24207,"",8.70,15.84,35.08,0.00,0.00,2.22,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1027","73","0","1990","A","","Coconino County, Arizona","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,775,17697730,0,0,439,22836,"",20.30,192.62,339.73,0.00,0.00,1.77,1.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","1","1028","73","0","1990","A","","Coconino County, Arizona","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,834,22248783,0,0,513,26664,"",0.96,1.37,1.62,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
