"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05041","0","10","70","0","1990","A","","Desha County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",429,4982,77740605,0,0,300,15604,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-1.2,-185,-3.6,-353117,-0.5,-31989865,-100.0,-653416,-100.0,10,3.4,491,3.2
"05041","1","10","71","0","1990","A","","Desha County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,97,2158974,0,0,430,22373,"",3.98,0.66,0.73,0.00,0.00,1.12,1.12,"",0,0.0,19,24.4,333536,18.3,0,0.0,0,0.0,-20,-4.4,-1030,-4.4
"05041","1","102","72","0","1990","A","","Desha County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,97,2158974,0,0,430,22373,"",4.00,0.69,0.76,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","1021","73","0","1990","A","","Desha County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,844263,0,0,507,26383,"",4.01,0.73,0.94,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","1024","73","0","1990","A","","Desha County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,453622,0,0,578,30074,"",13.28,4.63,7.10,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","1028","73","0","1990","A","","Desha County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,44,752401,0,0,331,17231,"",3.56,0.58,0.49,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","48-49","74","0","1990","A","","Desha County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,844263,0,0,507,26383,"",4.14,0.80,0.99,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","491","75","0","1990","A","","Desha County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,32,844263,0,0,507,26383,"",4.22,0.85,1.06,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","4911","76","0","1990","A","","Desha County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,32,844263,0,0,507,26383,"",4.22,0.85,1.06,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041","1","49111","77","0","1990","A","","Desha County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,32,844263,0,0,507,26383,"",4.22,0.85,1.06,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
