"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05049","0","10","70","0","1990","A","","Fulton County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",188,1633,19425760,0,0,229,11893,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,2.2,-17,-1.0,129221,0.7,-8582759,-100.0,-161035,-100.0,5,2.2,199,1.7
"05049","1","10","71","0","1990","A","","Fulton County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,35,683707,0,0,371,19305,"",7.69,0.72,0.93,0.00,0.00,1.26,1.26,"",1,10.0,0,0.0,-1500,-0.2,0,0.0,0,0.0,-5,-1.3,-272,-1.4
"05049","1","102","72","0","1990","A","","Fulton County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,35,683707,0,0,371,19305,"",7.73,0.76,0.97,0.00,0.00,1.26,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","1021","73","0","1990","A","","Fulton County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.16,1.74,2.11,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","1028","73","0","1990","A","","Fulton County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,159051,0,0,378,19676,"",6.77,0.32,0.42,0.00,0.00,1.28,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","48-49","74","0","1990","A","","Fulton County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.44,1.91,2.23,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","491","75","0","1990","A","","Fulton County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.63,2.02,2.38,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","4911","76","0","1990","A","","Fulton County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.63,2.02,2.38,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","49111","77","0","1990","A","","Fulton County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.63,2.02,2.38,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049","1","491110","78","0","1990","A","","Fulton County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,25,473970,0,0,368,19150,"",9.63,2.02,2.38,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
