"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05065","0","10","70","0","1990","A","","Izard County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",226,2948,44551213,0,0,291,15111,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,7.1,249,9.2,7070809,18.9,-16859413,-100.0,-346996,-100.0,24,9.0,1225,8.8
"05065","1","10","71","0","1990","A","","Izard County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,46,882119,0,0,368,19142,"",7.56,0.53,0.52,0.00,0.00,0.98,0.99,"",1,8.3,0,0.0,-12835,-1.4,0,0.0,0,0.0,-6,-1.6,-313,-1.6
"05065","1","102","72","0","1990","A","","Izard County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,46,882119,0,0,368,19142,"",7.60,0.55,0.54,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","1021","73","0","1990","A","","Izard County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.14,1.15,1.13,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","1023","73","0","1990","A","","Izard County, Arkansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",14.45,4.07,3.64,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","1028","73","0","1990","A","","Izard County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,12,227241,0,0,369,19203,"",6.75,0.27,0.26,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","48-49","74","0","1990","A","","Izard County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.43,1.27,1.20,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","491","75","0","1990","A","","Izard County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.62,1.34,1.27,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","4911","76","0","1990","A","","Izard County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.62,1.34,1.27,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","49111","77","0","1990","A","","Izard County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.62,1.34,1.27,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","491110","78","0","1990","A","","Izard County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,30,582461,0,0,372,19362,"",9.62,1.34,1.27,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","52","74","0","1990","A","","Izard County, Arkansas","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",14.52,4.14,3.67,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","522","75","0","1990","A","","Izard County, Arkansas","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",16.90,11.00,12.45,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","5222","76","0","1990","A","","Izard County, Arkansas","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",16.93,11.03,12.49,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","52229","77","0","1990","A","","Izard County, Arkansas","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",16.93,11.03,12.49,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","522298","78","0","1990","A","","Izard County, Arkansas","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,72417,0,0,334,17380,"",52.94,33.88,36.93,0.00,0.00,1.04,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","92","74","0","1990","A","","Izard County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,12,227241,0,0,369,19203,"",6.75,0.27,0.26,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","924","75","0","1990","A","","Izard County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,96637,0,0,446,23193,"",8.53,1.29,1.65,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","9241","76","0","1990","A","","Izard County, Arkansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,96637,0,0,446,23193,"",8.53,1.29,1.65,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","92412","77","0","1990","A","","Izard County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,96637,0,0,446,23193,"",8.66,1.49,2.00,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","1","924120","78","0","1990","A","","Izard County, Arkansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,96637,0,0,446,23193,"",8.66,1.49,2.00,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","2","10","71","0","1990","A","","Izard County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,157,2569472,0,0,315,16383,"",4.31,1.46,1.43,0.00,0.00,0.98,0.98,"",1,12.5,43,37.7,709370,38.1,0,0.0,0,0.0,2,0.6,67,0.4
"05065","2","1028","73","0","1990","A","","Izard County, Arkansas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,56,1086092,0,0,375,19511,"",4.02,1.28,1.40,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","2","92","74","0","1990","A","","Izard County, Arkansas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,56,1086092,0,0,375,19511,"",4.02,1.28,1.40,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","10","71","0","1990","A","","Izard County, Arkansas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,366,5222214,0,0,275,14285,"",3.89,1.28,1.20,0.00,0.00,0.95,0.95,"",0,0.0,8,2.2,292524,5.9,-751802,-100.0,-8208,-100.0,11,4.2,515,3.7
"05065","3","102","72","0","1990","A","","Izard County, Arkansas","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,366,5222214,0,0,275,14285,"",4.06,1.29,1.22,0.00,0.00,0.95,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","1025","73","0","1990","A","","Izard County, Arkansas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,266,4328344,0,0,313,16287,"",5.42,1.51,1.65,0.00,0.00,1.09,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","1028","73","0","1990","A","","Izard County, Arkansas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,96,848520,0,0,170,8862,"",4.51,1.14,0.65,0.00,0.00,0.57,0.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","61","74","0","1990","A","","Izard County, Arkansas","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",5,266,4328344,0,0,313,16287,"",6.53,1.71,1.86,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","611","75","0","1990","A","","Izard County, Arkansas","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,266,4328344,0,0,313,16287,"",6.53,1.71,1.86,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","6111","76","0","1990","A","","Izard County, Arkansas","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,266,4328344,0,0,313,16287,"",6.89,1.84,1.98,0.00,0.00,1.07,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065","3","61111","77","0","1990","A","","Izard County, Arkansas","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,266,4328344,0,0,313,16287,"",6.89,1.84,1.98,0.00,0.00,1.07,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
