"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05139","0","10","70","0","1990","A","","Union County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1354,19078,367511716,0,0,370,19264,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,0.7,369,2.0,21170242,6.1,-118789396,-100.0,-2316472,-100.0,14,3.9,752,4.1
"05139","1","10","71","0","1990","A","","Union County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,216,5976052,0,0,533,27710,"",2.04,0.38,0.43,0.00,0.00,1.12,1.12,"",2,10.5,4,1.9,534646,9.8,0,0.0,0,0.0,40,8.1,2043,8.0
"05139","1","102","72","0","1990","A","","Union County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,216,5976052,0,0,533,27710,"",2.05,0.40,0.45,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","1021","73","0","1990","A","","Union County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,104,2958124,0,0,547,28466,"",1.78,0.62,0.70,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","1024","73","0","1990","A","","Union County, Arkansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,20,507928,0,0,480,24980,"",12.62,1.61,1.68,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","1028","73","0","1990","A","","Union County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,89,2450187,0,0,530,27556,"",1.88,0.30,0.34,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","48-49","74","0","1990","A","","Union County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,104,2958124,0,0,547,28466,"",1.84,0.68,0.74,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","491","75","0","1990","A","","Union County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,104,2958124,0,0,547,28466,"",1.87,0.72,0.78,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","4911","76","0","1990","A","","Union County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,104,2958124,0,0,547,28466,"",1.87,0.72,0.78,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139","1","49111","77","0","1990","A","","Union County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,104,2958124,0,0,547,28466,"",1.87,0.72,0.78,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
