"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06099","0","10","70","0","1990","A","","Stanislaus County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",8647,138212,2794845677,0,0,389,20222,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-6,-0.1,6057,4.6,271131496,10.7,-839146697,-100.0,-24133841,-100.0,22,6.0,1126,5.9
"06099","1","10","71","0","1990","A","","Stanislaus County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",37,867,26721087,0,0,592,30808,"",0.56,0.21,0.25,0.00,0.00,1.19,1.19,"",0,0.0,2,0.2,2787500,11.6,0,0.0,0,0.0,60,11.3,3140,11.3
"06099","1","102","72","0","1990","A","","Stanislaus County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,865,26642675,0,0,592,30798,"",0.55,0.22,0.26,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","1021","73","0","1990","A","","Stanislaus County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,595,18787109,0,0,607,31562,"",0.64,0.49,0.58,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","1023","73","0","1990","A","","Stanislaus County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,254529,0,0,402,20920,"",0.38,0.26,0.20,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","1024","73","0","1990","A","","Stanislaus County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,277241,0,0,438,22787,"",0.66,0.13,0.12,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","1028","73","0","1990","A","","Stanislaus County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",18,245,7321243,0,0,575,29913,"",0.53,0.12,0.13,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","48-49","74","0","1990","A","","Stanislaus County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,595,18787109,0,0,607,31562,"",0.66,0.54,0.62,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","491","75","0","1990","A","","Stanislaus County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,595,18787109,0,0,607,31562,"",0.67,0.57,0.66,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","4911","76","0","1990","A","","Stanislaus County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,595,18787109,0,0,607,31562,"",0.67,0.57,0.66,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","1","49111","77","0","1990","A","","Stanislaus County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,595,18787109,0,0,607,31562,"",0.67,0.57,0.66,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
