"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08093","0","10","70","0","1990","A","","Park County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",167,940,15963169,0,0,327,16990,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,2.5,-37,-3.8,-448114,-2.7,-11436424,-100.0,-162400,-100.0,4,1.2,193,1.1
"08093","1","10","71","0","1990","A","","Park County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,60,1165233,0,0,373,19394,"",7.87,2.16,1.92,0.00,0.00,0.89,0.89,"",1,11.1,-1,-1.6,125064,12.0,0,0.0,0,0.0,46,14.1,2343,13.7
"08093","1","102","72","0","1990","A","","Park County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,60,1165233,0,0,373,19394,"",7.91,2.25,2.01,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","1021","73","0","1990","A","","Park County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",12.37,3.02,2.89,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","1028","73","0","1990","A","","Park County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,35,632855,0,0,348,18082,"",6.09,2.43,2.01,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","48-49","74","0","1990","A","","Park County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",12.76,3.32,3.05,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","491","75","0","1990","A","","Park County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",13.01,3.50,3.25,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","4911","76","0","1990","A","","Park County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",13.01,3.50,3.25,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","49111","77","0","1990","A","","Park County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",13.01,3.50,3.25,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","1","491110","78","0","1990","A","","Park County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,25,532378,0,0,408,21224,"",13.01,3.50,3.25,0.00,0.00,0.92,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
