"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08095","0","10","70","0","1990","A","","Phillips County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",151,1181,17204329,0,0,280,14571,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,2.0,80,7.3,1500708,9.6,-9240765,-100.0,-86289,-100.0,6,2.2,308,2.2
"08095","1","10","71","0","1990","A","","Phillips County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,33,727398,0,0,422,21932,"",6.96,0.94,1.11,0.00,0.00,1.17,1.17,"",1,14.3,0,0.0,69486,10.6,0,0.0,0,0.0,39,10.2,1996,10.0
"08095","1","102","72","0","1990","A","","Phillips County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,33,727398,0,0,422,21932,"",7.00,0.98,1.16,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","1021","73","0","1990","A","","Phillips County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.41,1.92,2.36,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","1028","73","0","1990","A","","Phillips County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,258854,0,0,369,19174,"",5.05,0.77,0.76,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","48-49","74","0","1990","A","","Phillips County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.76,2.12,2.49,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","491","75","0","1990","A","","Phillips County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.99,2.23,2.65,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","4911","76","0","1990","A","","Phillips County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.99,2.23,2.65,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","49111","77","0","1990","A","","Phillips County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.99,2.23,2.65,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095","1","491110","78","0","1990","A","","Phillips County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,20,468544,0,0,458,23824,"",11.99,2.23,2.65,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
