"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08099","0","10","70","0","1990","A","","Prowers County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",457,4732,72411997,0,0,294,15302,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,0.7,24,0.5,1527621,2.2,-35391327,-100.0,-477568,-100.0,5,1.7,246,1.6
"08099","1","10","71","0","1990","A","","Prowers County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,60,1349862,0,0,430,22343,"",3.74,0.43,0.49,0.00,0.00,1.14,1.14,"",2,18.2,0,0.0,53198,4.1,0,0.0,0,0.0,15,3.6,732,3.4
"08099","1","102","72","0","1990","A","","Prowers County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,60,1349862,0,0,430,22343,"",3.76,0.45,0.51,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","1021","73","0","1990","A","","Prowers County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,873377,0,0,496,25814,"",4.52,0.81,1.04,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","1023","73","0","1990","A","","Prowers County, Colorado","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,85064,0,0,338,17599,"",7.15,3.17,2.63,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","1028","73","0","1990","A","","Prowers County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,22,391421,0,0,346,17996,"",3.34,0.30,0.27,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","48-49","74","0","1990","A","","Prowers County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,873377,0,0,496,25814,"",4.66,0.90,1.10,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","491","75","0","1990","A","","Prowers County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,34,873377,0,0,496,25814,"",4.76,0.95,1.18,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","4911","76","0","1990","A","","Prowers County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,34,873377,0,0,496,25814,"",4.76,0.95,1.18,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08099","1","49111","77","0","1990","A","","Prowers County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,34,873377,0,0,496,25814,"",4.76,0.95,1.18,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
