"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08101","0","10","70","0","1990","A","","Pueblo County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2743,43143,790623150,0,0,352,18326,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-51,-1.8,2675,6.6,72294949,10.1,-241172371,-100.0,-5185510,-100.0,11,3.2,576,3.2
"08101","1","10","71","0","1990","A","","Pueblo County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,1246,35140706,0,0,542,28193,"",1.34,0.98,1.17,0.00,0.00,1.20,1.20,"",2,7.7,-12,-1.0,1264488,3.7,0,0.0,0,0.0,25,4.8,1265,4.7
"08101","1","102","72","0","1990","A","","Pueblo County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,1246,35140706,0,0,542,28193,"",1.35,1.02,1.22,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","1021","73","0","1990","A","","Pueblo County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,337,11573362,0,0,660,34308,"",0.63,0.89,1.27,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","1024","73","0","1990","A","","Pueblo County, Colorado","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,10,300264,0,0,582,30279,"",4.15,0.36,0.46,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","1028","73","0","1990","A","","Pueblo County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,886,23059664,0,0,500,26017,"",1.58,1.34,1.48,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","48-49","74","0","1990","A","","Pueblo County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,337,11573362,0,0,660,34308,"",0.65,0.98,1.34,0.00,0.00,1.38,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","488","75","0","1990","A","","Pueblo County, Colorado","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,33,1278752,0,0,740,38459,"",7.32,2.76,3.14,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","4881","76","0","1990","A","","Pueblo County, Colorado","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,33,1278752,0,0,740,38459,"",7.40,2.88,3.24,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","48811","77","0","1990","A","","Pueblo County, Colorado","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,33,1278752,0,0,740,38459,"",7.40,2.88,3.24,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","488111","78","0","1990","A","","Pueblo County, Colorado","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,33,1278752,0,0,740,38459,"",7.52,3.03,3.27,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","491","75","0","1990","A","","Pueblo County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,304,10294610,0,0,651,33855,"",0.53,0.93,1.27,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","4911","76","0","1990","A","","Pueblo County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,304,10294610,0,0,651,33855,"",0.53,0.93,1.27,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","1","49111","77","0","1990","A","","Pueblo County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,304,10294610,0,0,651,33855,"",0.53,0.93,1.27,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
