"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12017","0","10","70","0","1990","A","","Citrus County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1688,21594,390398388,0,0,348,18079,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",52,3.2,828,4.0,41084831,11.8,-120499998,-100.0,-1064868,-100.0,25,7.7,1258,7.5
"12017","1","10","71","0","1990","A","","Citrus County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,194,4797734,0,0,476,24731,"",0.62,0.30,0.32,0.00,0.00,1.07,1.07,"",1,14.3,26,15.5,685293,16.7,0,0.0,0,0.0,6,1.3,253,1.0
"12017","1","102","72","0","1990","A","","Citrus County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,194,4797734,0,0,476,24731,"",0.63,0.32,0.34,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","1021","73","0","1990","A","","Citrus County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.20,0.83,0.94,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","1028","73","0","1990","A","","Citrus County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,35,500321,0,0,276,14329,"",0.75,0.11,0.06,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","48-49","74","0","1990","A","","Citrus County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.21,0.91,1.00,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","491","75","0","1990","A","","Citrus County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.21,0.96,1.06,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","4911","76","0","1990","A","","Citrus County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.21,0.96,1.06,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","49111","77","0","1990","A","","Citrus County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.21,0.96,1.06,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12017","1","491110","78","0","1990","A","","Citrus County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,158,4253375,0,0,519,26977,"",0.21,0.96,1.06,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
