"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12065","0","10","70","0","1990","A","","Jefferson County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",252,2876,42126724,0,0,282,14648,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.6,192,7.2,5292820,14.4,-13670485,-100.0,-99978,-100.0,19,7.2,925,6.7
"12065","1","10","71","0","1990","A","","Jefferson County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,36,884949,0,0,467,24301,"",2.09,0.42,0.55,0.00,0.00,1.29,1.29,"",0,0.0,1,2.9,59274,7.2,0,0.0,0,0.0,14,3.1,711,3.0
"12065","1","102","72","0","1990","A","","Jefferson County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,36,884949,0,0,467,24301,"",2.10,0.44,0.58,0.00,0.00,1.29,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","1021","73","0","1990","A","","Jefferson County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.37,0.99,1.40,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","1028","73","0","1990","A","","Jefferson County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,202571,0,0,354,18416,"",3.03,0.25,0.24,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","48-49","74","0","1990","A","","Jefferson County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.41,1.09,1.48,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","491","75","0","1990","A","","Jefferson County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.44,1.14,1.58,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","4911","76","0","1990","A","","Jefferson County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.44,1.14,1.58,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","49111","77","0","1990","A","","Jefferson County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.44,1.14,1.58,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","491110","78","0","1990","A","","Jefferson County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,682378,0,0,516,26848,"",1.44,1.14,1.58,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","92","74","0","1990","A","","Jefferson County, Florida","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,202571,0,0,354,18416,"",3.03,0.25,0.24,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","924","75","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,89463,0,0,504,26184,"",3.82,1.00,1.62,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","9241","76","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,89463,0,0,504,26184,"",3.82,1.00,1.62,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","92412","77","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,89463,0,0,504,26184,"",3.88,1.15,1.95,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","924120","78","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,89463,0,0,504,26184,"",3.88,1.15,1.95,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","926","75","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,113108,0,0,287,14915,"",5.03,1.16,0.95,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","9261","76","0","1990","A","","Jefferson County, Florida","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,113108,0,0,287,14915,"",5.03,1.16,0.95,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","92614","77","0","1990","A","","Jefferson County, Florida","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,83012,0,0,399,20753,"",4.39,2.92,3.11,0.00,0.00,1.06,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","1","926140","78","0","1990","A","","Jefferson County, Florida","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,83012,0,0,399,20753,"",4.39,2.92,3.11,0.00,0.00,1.06,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","2","10","71","0","1990","A","","Jefferson County, Florida","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,257,5179100,0,0,387,20120,"",8.58,2.45,3.05,0.00,0.00,1.25,1.25,"",-1,-4.8,118,84.9,2594040,100.3,0,0.0,0,0.0,30,8.4,1523,8.2
"12065","2","1028","73","0","1990","A","","Jefferson County, Florida","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,214,4320013,0,0,389,20218,"",10.22,5.01,5.90,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","2","92","74","0","1990","A","","Jefferson County, Florida","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,214,4320013,0,0,389,20218,"",10.22,5.01,5.90,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","3","10","71","0","1990","A","","Jefferson County, Florida","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,528,9367119,0,0,341,17755,"",1.86,1.89,2.29,0.00,0.00,1.21,1.21,"",0,0.0,37,7.5,1024078,12.3,0,0.0,0,0.0,15,4.6,764,4.5
"12065","3","102","72","0","1990","A","","Jefferson County, Florida","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,528,9367119,0,0,341,17755,"",1.94,1.91,2.31,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","3","921","75","0","1990","A","","Jefferson County, Florida","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,153,1982100,0,0,250,12990,"",3.50,2.70,2.56,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","3","9211","76","0","1990","A","","Jefferson County, Florida","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,153,1982100,0,0,250,12990,"",3.50,2.70,2.56,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","10","71","0","1990","A","","Jefferson County, Florida","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",220,2055,26695556,0,0,250,12994,"",0.90,0.85,0.77,0.00,0.00,0.90,0.90,"",5,2.3,36,1.8,1615428,6.4,-13670485,-100.0,-99978,-100.0,12,5.0,572,4.6
"12065","5","101","72","0","1990","A","","Jefferson County, Florida","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",55,668,8770297,0,0,253,13131,"",1.13,1.02,0.79,0.00,0.00,0.78,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","1011","73","0","1990","A","","Jefferson County, Florida","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",25,349,4598368,0,0,253,13163,"",4.82,7.57,7.04,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","1012","73","0","1990","A","","Jefferson County, Florida","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",17,121,2186591,0,0,348,18108,"",0.62,0.88,0.97,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","1013","73","0","1990","A","","Jefferson County, Florida","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",13,198,1985338,0,0,193,10035,"",0.81,0.42,0.24,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","102","72","0","1990","A","","Jefferson County, Florida","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",165,1387,17925259,0,0,249,12928,"",0.85,0.79,0.76,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065","5","1021","73","0","1990","A","","Jefferson County, Florida","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",61,533,8066641,0,0,291,15125,"",0.92,0.90,1.03,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
