"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12125","0","10","70","0","1990","A","","Union County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",142,3536,64352998,0,0,350,18199,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.7,121,3.5,4419929,7.4,-12033620,-100.0,-75150,-100.0,13,3.9,650,3.7
"12125","1","10","71","0","1990","A","","Union County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,23,521519,0,0,438,22757,"",2.78,0.22,0.21,0.00,0.00,0.97,0.97,"",1,50.0,3,15.0,53774,11.5,0,0.0,0,0.0,-11,-2.4,-630,-2.7
"12125","1","102","72","0","1990","A","","Union County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,23,521519,0,0,438,22757,"",2.79,0.23,0.22,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","1021","73","0","1990","A","","Union County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.43,0.51,0.56,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","48-49","74","0","1990","A","","Union County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.50,0.57,0.59,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","491","75","0","1990","A","","Union County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.55,0.60,0.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","4911","76","0","1990","A","","Union County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.55,0.60,0.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","49111","77","0","1990","A","","Union County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.55,0.60,0.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","1","491110","78","0","1990","A","","Union County, Florida","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,414962,0,0,496,25801,"",2.55,0.60,0.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12125","3","1028","73","0","1990","A","","Union County, Florida","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,94,1371158,0,0,282,14652,"",6.38,0.93,0.73,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
