"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13067","0","10","70","0","1990","A","","Cobb County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",11654,184318,4572607911,0,0,477,24808,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",796,7.3,5423,3.0,329633037,7.8,-1229607990,-100.0,-15829847,-100.0,21,4.6,1091,4.6
"13067","1","10","71","0","1990","A","","Cobb County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,3358,95931872,0,0,549,28570,"",0.29,0.62,0.55,0.00,0.00,0.90,0.90,"",2,8.3,21,0.6,5036111,5.5,0,0.0,0,0.0,26,5.0,1332,4.9
"13067","1","102","72","0","1990","A","","Cobb County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,3358,95931872,0,0,549,28570,"",0.29,0.64,0.58,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","1021","73","0","1990","A","","Cobb County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,963,29189958,0,0,583,30304,"",0.12,0.59,0.55,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","1028","73","0","1990","A","","Cobb County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",21,2334,66225725,0,0,546,28370,"",0.46,0.83,0.73,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","48-49","74","0","1990","A","","Cobb County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,963,29189958,0,0,583,30304,"",0.12,0.65,0.58,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","488","75","0","1990","A","","Cobb County, Georgia","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,493375,0,0,863,44852,"",1.72,0.22,0.21,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","4881","76","0","1990","A","","Cobb County, Georgia","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,493375,0,0,863,44852,"",1.74,0.22,0.22,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","48811","77","0","1990","A","","Cobb County, Georgia","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,493375,0,0,863,44852,"",1.74,0.22,0.22,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13067","1","488111","78","0","1990","A","","Cobb County, Georgia","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,493375,0,0,863,44852,"",1.77,0.24,0.22,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
