"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13079","0","10","70","0","1990","A","","Crawford County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",104,965,13016464,0,0,260,13494,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-3.7,-31,-3.1,173668,1.4,-4651843,-100.0,-60130,-100.0,13,5.3,600,4.7
"13079","1","10","71","0","1990","A","","Crawford County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,16,318746,0,0,377,19615,"",6.32,0.56,0.64,0.00,0.00,1.13,1.13,"",0,0.0,3,23.1,76484,31.6,0,0.0,0,0.0,19,5.3,980,5.3
"13079","1","102","72","0","1990","A","","Crawford County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,16,318746,0,0,377,19615,"",6.35,0.58,0.67,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","1021","73","0","1990","A","","Crawford County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",9.94,1.18,1.55,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","1028","73","0","1990","A","","Crawford County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,84812,0,0,280,14539,"",4.89,0.41,0.33,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","48-49","74","0","1990","A","","Crawford County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",10.24,1.29,1.65,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","491","75","0","1990","A","","Crawford County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",10.45,1.36,1.75,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","4911","76","0","1990","A","","Crawford County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",10.45,1.36,1.75,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","49111","77","0","1990","A","","Crawford County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",10.45,1.36,1.75,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","491110","78","0","1990","A","","Crawford County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,10,233934,0,0,432,22458,"",10.45,1.36,1.75,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","92","74","0","1990","A","","Crawford County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,84812,0,0,280,14539,"",4.89,0.41,0.33,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","926","75","0","1990","A","","Crawford County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,40862,0,0,219,11403,"",6.10,1.74,1.12,0.00,0.00,0.71,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","9261","76","0","1990","A","","Crawford County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,40862,0,0,219,11403,"",6.10,1.74,1.12,0.00,0.00,0.71,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","92611","77","0","1990","A","","Crawford County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,40862,0,0,219,11403,"",20.30,3.33,3.15,0.00,0.00,1.05,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","1","926110","78","0","1990","A","","Crawford County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,40862,0,0,219,11403,"",20.30,3.33,3.15,0.00,0.00,1.05,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","2","10","71","0","1990","A","","Crawford County, Georgia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,24,504078,0,0,408,21224,"",5.20,0.68,0.96,0.00,0.00,1.42,1.43,"",0,0.0,3,14.3,78015,18.3,0,0.0,0,0.0,18,4.6,936,4.6
"13079","2","102","72","0","1990","A","","Crawford County, Georgia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,24,504078,0,0,408,21224,"",5.36,0.70,0.98,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","3","10","71","0","1990","A","","Crawford County, Georgia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,317,4888635,0,0,297,15434,"",2.26,3.38,3.86,0.00,0.00,1.14,1.14,"",0,0.0,11,3.6,371759,8.2,-92317,-100.0,-774,-100.0,14,4.9,673,4.6
"13079","3","102","72","0","1990","A","","Crawford County, Georgia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,317,4888635,0,0,297,15434,"",2.35,3.41,3.90,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","10","71","0","1990","A","","Crawford County, Georgia","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",89,608,7305005,0,0,231,12018,"",0.89,0.75,0.68,0.00,0.00,0.90,0.90,"",-5,-5.3,-48,-7.3,-352590,-4.6,-4559526,-100.0,-59356,-100.0,7,3.1,345,3.0
"13079","5","101","72","0","1990","A","","Crawford County, Georgia","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",32,259,3404340,0,0,253,13153,"",1.59,1.18,0.99,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1011","73","0","1990","A","","Crawford County, Georgia","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",10,138,1989948,0,0,276,14377,"",4.67,8.92,9.86,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1012","73","0","1990","A","","Crawford County, Georgia","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",18,36,611149,0,0,328,17055,"",1.59,0.78,0.88,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1013","73","0","1990","A","","Crawford County, Georgia","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",4,85,803243,0,0,183,9496,"",0.60,0.54,0.32,0.00,0.00,0.59,0.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","102","72","0","1990","A","","Crawford County, Georgia","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,349,3900665,0,0,215,11177,"",0.71,0.59,0.53,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1021","73","0","1990","A","","Crawford County, Georgia","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",30,159,1763451,0,0,214,11120,"",1.10,0.80,0.73,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1023","73","0","1990","A","","Crawford County, Georgia","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,9,230282,0,0,488,25352,"",0.33,0.15,0.23,0.00,0.00,1.55,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1024","73","0","1990","A","","Crawford County, Georgia","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,22,337564,0,0,294,15286,"",0.30,0.24,0.23,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1025","73","0","1990","A","","Crawford County, Georgia","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,105,1026849,0,0,188,9756,"",0.67,1.11,0.83,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","1027","73","0","1990","A","","Crawford County, Georgia","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",11,33,306200,0,0,181,9397,"",0.95,1.07,1.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","23","74","0","1990","A","","Crawford County, Georgia","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",18,36,611149,0,0,328,17055,"",1.59,0.78,0.88,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","238","75","0","1990","A","","Crawford County, Georgia","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,27,527240,0,0,380,19772,"",1.61,1.00,1.37,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","2382","76","0","1990","A","","Crawford County, Georgia","Private","Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,364909,0,0,498,25911,"",1.59,1.23,1.98,0.00,0.00,1.60,1.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","31-33","74","0","1990","A","","Crawford County, Georgia","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,85,803243,0,0,183,9496,"",0.60,0.54,0.32,0.00,0.00,0.59,0.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","42","74","0","1990","A","","Crawford County, Georgia","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,201053,0,0,167,8679,"",0.36,0.50,0.25,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13079","5","44-45","74","0","1990","A","","Crawford County, Georgia","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",26,132,1503853,0,0,219,11378,"",1.61,1.11,1.42,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
