"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13089","0","10","70","0","1990","A","","DeKalb County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14152,274905,6977245832,0,0,488,25381,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",168,1.2,1890,0.7,399981880,6.1,-1816236874,-100.0,-23942565,-100.0,25,5.4,1290,5.4
"13089","1","10","71","0","1990","A","","DeKalb County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,10732,299972382,0,0,538,27952,"",0.32,1.32,1.13,0.00,0.00,0.86,0.86,"",7,25.9,384,3.7,37949254,14.5,0,0.0,0,0.0,52,10.7,2631,10.4
"13089","1","102","72","0","1990","A","","DeKalb County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,10732,299972382,0,0,538,27952,"",0.32,1.38,1.18,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","1021","73","0","1990","A","","DeKalb County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,1339,45776552,0,0,658,34198,"",0.12,0.55,0.57,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","1025","73","0","1990","A","","DeKalb County, Georgia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2243,56845821,0,0,487,25346,"",0.91,3.35,2.56,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","1026","73","0","1990","A","","DeKalb County, Georgia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,25,391357,0,0,300,15602,"",0.49,0.15,0.15,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","1028","73","0","1990","A","","DeKalb County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",26,7125,196958652,0,0,532,27643,"",0.47,1.69,1.43,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","48-49","74","0","1990","A","","DeKalb County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,1339,45776552,0,0,658,34198,"",0.13,0.61,0.60,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","488","75","0","1990","A","","DeKalb County, Georgia","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,1119068,0,0,749,38924,"",1.42,0.38,0.31,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","4881","76","0","1990","A","","DeKalb County, Georgia","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,1119068,0,0,749,38924,"",1.43,0.40,0.32,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","48811","77","0","1990","A","","DeKalb County, Georgia","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,1119068,0,0,749,38924,"",1.43,0.40,0.32,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","488111","78","0","1990","A","","DeKalb County, Georgia","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,29,1119068,0,0,749,38924,"",1.46,0.42,0.32,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","491","75","0","1990","A","","DeKalb County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,1310,44657484,0,0,656,34094,"",0.10,0.63,0.62,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","4911","76","0","1990","A","","DeKalb County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,1310,44657484,0,0,656,34094,"",0.10,0.63,0.62,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13089","1","49111","77","0","1990","A","","DeKalb County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,1310,44657484,0,0,656,34094,"",0.10,0.63,0.62,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
