"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13139","0","10","70","0","1990","A","","Hall County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2232,43078,847349524,0,0,378,19670,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",80,3.7,136,0.3,54316128,6.8,-275541778,-100.0,-3223928,-100.0,23,6.5,1203,6.5
"13139","1","10","71","0","1990","A","","Hall County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,485,14139833,0,0,561,29154,"",1.00,0.38,0.44,0.00,0.00,1.16,1.15,"",1,6.2,5,1.0,854823,6.4,0,0.0,0,0.0,29,5.5,1477,5.3
"13139","1","102","72","0","1990","A","","Hall County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,485,14139833,0,0,561,29154,"",1.01,0.40,0.46,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","1021","73","0","1990","A","","Hall County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.46,0.61,0.71,0.00,0.00,1.18,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","1028","73","0","1990","A","","Hall County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,254,7143452,0,0,541,28115,"",1.60,0.38,0.43,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","48-49","74","0","1990","A","","Hall County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.48,0.67,0.76,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","491","75","0","1990","A","","Hall County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.49,0.71,0.80,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","4911","76","0","1990","A","","Hall County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.49,0.71,0.80,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","49111","77","0","1990","A","","Hall County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.49,0.71,0.80,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","491110","78","0","1990","A","","Hall County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,231,6996381,0,0,583,30298,"",0.49,0.71,0.80,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92","74","0","1990","A","","Hall County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",14,254,7143452,0,0,541,28115,"",1.60,0.38,0.43,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","921","75","0","1990","A","","Hall County, Georgia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,341579,0,0,567,29489,"",2.83,0.12,0.13,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","9211","76","0","1990","A","","Hall County, Georgia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,341579,0,0,567,29489,"",2.83,0.12,0.13,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92113","77","0","1990","A","","Hall County, Georgia","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,247219,0,0,679,35317,"",2.23,0.12,0.17,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","921130","78","0","1990","A","","Hall County, Georgia","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,247219,0,0,679,35317,"",2.23,0.12,0.17,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92119","77","0","1990","A","","Hall County, Georgia","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,94360,0,0,396,20588,"",3.97,0.14,0.11,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","921190","78","0","1990","A","","Hall County, Georgia","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,94360,0,0,396,20588,"",3.97,0.14,0.11,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","922","75","0","1990","A","","Hall County, Georgia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,305430,0,0,691,35933,"",3.18,0.21,0.24,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","9221","76","0","1990","A","","Hall County, Georgia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,305430,0,0,691,35933,"",3.18,0.21,0.24,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92211","77","0","1990","A","","Hall County, Georgia","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,141606,0,0,681,35402,"",6.50,0.42,0.56,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","922110","78","0","1990","A","","Hall County, Georgia","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,141606,0,0,681,35402,"",6.50,0.42,0.56,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92212","77","0","1990","A","","Hall County, Georgia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,163824,0,0,700,36405,"",3.52,0.44,0.44,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","922120","78","0","1990","A","","Hall County, Georgia","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,163824,0,0,700,36405,"",3.52,0.44,0.44,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","923","75","0","1990","A","","Hall County, Georgia","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,26,776784,0,0,569,29592,"",1.45,0.47,0.51,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","9231","76","0","1990","A","","Hall County, Georgia","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,26,776784,0,0,569,29592,"",1.45,0.47,0.51,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92313","77","0","1990","A","","Hall County, Georgia","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,26,776784,0,0,569,29592,"",1.97,0.83,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","923130","78","0","1990","A","","Hall County, Georgia","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,26,776784,0,0,569,29592,"",1.97,0.83,0.98,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","924","75","0","1990","A","","Hall County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,89,2741937,0,0,594,30895,"",1.30,1.97,2.46,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","9241","76","0","1990","A","","Hall County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,89,2741937,0,0,594,30895,"",1.30,1.97,2.46,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","92412","77","0","1990","A","","Hall County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,89,2741937,0,0,594,30895,"",1.31,2.27,2.98,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","924120","78","0","1990","A","","Hall County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,89,2741937,0,0,594,30895,"",1.31,2.27,2.98,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","926","75","0","1990","A","","Hall County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,119,2977722,0,0,481,25023,"",1.71,1.16,1.25,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13139","1","9261","76","0","1990","A","","Hall County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,119,2977722,0,0,481,25023,"",1.71,1.16,1.25,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
