"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13157","0","10","70","0","1990","A","","Jackson County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",476,8946,151985846,0,0,327,16990,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",14,3.0,-63,-0.7,11145827,7.9,-59474302,-100.0,-719705,-100.0,27,9.0,1357,8.7
"13157","1","10","71","0","1990","A","","Jackson County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,85,1952611,0,0,443,23040,"",2.21,0.32,0.34,0.00,0.00,1.05,1.06,"",1,14.3,8,10.4,183734,10.4,0,0.0,0,0.0,2,0.5,68,0.3
"13157","1","102","72","0","1990","A","","Jackson County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,85,1952611,0,0,443,23040,"",2.22,0.33,0.35,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","1021","73","0","1990","A","","Jackson County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.17,0.72,0.79,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","1028","73","0","1990","A","","Jackson County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,28,559288,0,0,383,19915,"",2.67,0.20,0.19,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","48-49","74","0","1990","A","","Jackson County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.24,0.80,0.84,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","491","75","0","1990","A","","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.28,0.84,0.89,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","4911","76","0","1990","A","","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.28,0.84,0.89,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","49111","77","0","1990","A","","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.28,0.84,0.89,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","491110","78","0","1990","A","","Jackson County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,57,1393323,0,0,473,24588,"",2.28,0.84,0.89,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","92","74","0","1990","A","","Jackson County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,28,559288,0,0,383,19915,"",2.67,0.20,0.19,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","924","75","0","1990","A","","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,123084,0,0,473,24617,"",4.05,0.53,0.62,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13157","1","9241","76","0","1990","A","","Jackson County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,123084,0,0,473,24617,"",4.05,0.53,0.62,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
