"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13227","0","10","70","0","1990","A","","Pickens County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",262,3922,67205138,0,0,330,17137,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,5.2,208,5.6,6126934,10.0,-21773158,-100.0,-269758,-100.0,14,4.4,692,4.2
"13227","1","10","71","0","1990","A","","Pickens County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,41,957875,0,0,455,23651,"",3.01,0.35,0.37,0.00,0.00,1.07,1.07,"",1,20.0,3,7.9,120876,14.4,0,0.0,0,0.0,32,7.6,1625,7.4
"13227","1","102","72","0","1990","A","","Pickens County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,41,957875,0,0,455,23651,"",3.03,0.37,0.39,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","1021","73","0","1990","A","","Pickens County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",3.94,0.84,0.96,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","1023","73","0","1990","A","","Pickens County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",12.47,3.06,2.37,0.00,0.00,0.84,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","1028","73","0","1990","A","","Pickens County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,143401,0,0,356,18503,"",1.94,0.13,0.11,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","48-49","74","0","1990","A","","Pickens County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",4.07,0.92,1.01,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","491","75","0","1990","A","","Pickens County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",4.15,0.97,1.08,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","4911","76","0","1990","A","","Pickens County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",4.15,0.97,1.08,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","49111","77","0","1990","A","","Pickens County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",4.15,0.97,1.08,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","491110","78","0","1990","A","","Pickens County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,29,743172,0,0,491,25553,"",4.15,0.97,1.08,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","52","74","0","1990","A","","Pickens County, Georgia","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",12.52,3.12,2.39,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","522","75","0","1990","A","","Pickens County, Georgia","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",14.58,8.27,8.13,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","5222","76","0","1990","A","","Pickens County, Georgia","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",14.61,8.29,8.15,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","52229","77","0","1990","A","","Pickens County, Georgia","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",14.61,8.29,8.15,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","522298","78","0","1990","A","","Pickens County, Georgia","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,71302,0,0,374,19446,"",45.67,25.46,24.11,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","92","74","0","1990","A","","Pickens County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,8,143401,0,0,356,18503,"",1.94,0.13,0.11,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","924","75","0","1990","A","","Pickens County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,100997,0,0,583,30299,"",3.68,0.73,1.14,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13227","1","9241","76","0","1990","A","","Pickens County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,100997,0,0,583,30299,"",3.68,0.73,1.14,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
