"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"16051","0","10","70","0","1990","A","","Jefferson County, Idaho","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",288,3643,52073934,0,0,275,14293,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,5.5,154,4.4,5946003,12.9,-26852602,-100.0,-654664,-100.0,21,8.3,1073,8.1
"16051","1","10","71","0","1990","A","","Jefferson County, Idaho","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,64,1551946,0,0,470,24440,"",5.93,0.59,0.78,0.00,0.00,1.33,1.33,"",0,0.0,-2,-3.0,172158,12.5,0,0.0,0,0.0,68,16.9,3535,16.9
"16051","1","102","72","0","1990","A","","Jefferson County, Idaho","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,64,1551946,0,0,470,24440,"",5.96,0.62,0.82,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","1021","73","0","1990","A","","Jefferson County, Idaho","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.20,1.00,1.47,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","1028","73","0","1990","A","","Jefferson County, Idaho","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,27,568801,0,0,401,20873,"",9.72,0.48,0.55,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","48-49","74","0","1990","A","","Jefferson County, Idaho","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.23,1.10,1.56,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","491","75","0","1990","A","","Jefferson County, Idaho","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.26,1.16,1.66,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","4911","76","0","1990","A","","Jefferson County, Idaho","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.26,1.16,1.66,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","49111","77","0","1990","A","","Jefferson County, Idaho","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.26,1.16,1.66,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","491110","78","0","1990","A","","Jefferson County, Idaho","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,886494,0,0,536,27848,"",1.26,1.16,1.66,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","92","74","0","1990","A","","Jefferson County, Idaho","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,27,568801,0,0,401,20873,"",9.72,0.48,0.55,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","924","75","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,14,304482,0,0,431,22416,"",16.73,3.67,4.45,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","9241","76","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,14,304482,0,0,431,22416,"",16.73,3.67,4.45,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","92412","77","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,14,304482,0,0,431,22416,"",16.98,4.23,5.38,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","924120","78","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,14,304482,0,0,431,22416,"",16.98,4.23,5.38,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","926","75","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,191811,0,0,338,17570,"",11.01,1.26,1.31,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","9261","76","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,11,191811,0,0,338,17570,"",11.01,1.26,1.31,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","92611","77","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,50092,0,0,163,8466,"",7.33,1.32,0.96,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16051","1","926110","78","0","1990","A","","Jefferson County, Idaho","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,50092,0,0,163,8466,"",7.33,1.32,0.96,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
