"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17011","0","10","70","0","1990","A","","Bureau County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",825,11123,191619312,0,0,331,17227,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-11,-1.3,194,1.8,15448783,8.8,-71193923,-100.0,-2373250,-100.0,22,7.1,1108,6.9
"17011","1","10","71","0","1990","A","","Bureau County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,147,3658186,0,0,478,24872,"",2.55,0.45,0.50,0.00,0.00,1.12,1.12,"",-1,-5.9,-8,-5.2,100554,2.8,0,0.0,0,0.0,37,8.4,1920,8.4
"17011","1","102","72","0","1990","A","","Bureau County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,147,3658186,0,0,478,24872,"",2.56,0.47,0.53,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","1021","73","0","1990","A","","Bureau County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.01,0.99,1.07,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","1023","73","0","1990","A","","Bureau County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,33,988851,0,0,569,29592,"",7.92,8.90,11.55,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","1028","73","0","1990","A","","Bureau County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,16,303514,0,0,357,18582,"",0.62,0.09,0.08,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","48-49","74","0","1990","A","","Bureau County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.17,1.09,1.13,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","491","75","0","1990","A","","Bureau County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.27,1.15,1.20,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","4911","76","0","1990","A","","Bureau County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.27,1.15,1.20,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","49111","77","0","1990","A","","Bureau County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.27,1.15,1.20,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","1","491110","78","0","1990","A","","Bureau County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,97,2365821,0,0,467,24306,"",5.27,1.15,1.20,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
