"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17051","0","10","70","0","1990","A","","Fayette County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",444,4692,70591996,0,0,289,15047,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",10,2.3,30,0.6,2441396,3.6,-32922280,-100.0,-1143429,-100.0,8,2.8,429,2.9
"17051","1","10","71","0","1990","A","","Fayette County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,68,1617721,0,0,458,23790,"",3.25,0.49,0.60,0.00,0.00,1.23,1.23,"",0,0.0,-6,-8.1,-45535,-2.7,0,0.0,0,0.0,26,6.0,1314,5.8
"17051","1","102","72","0","1990","A","","Fayette County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,68,1617721,0,0,458,23790,"",3.27,0.51,0.63,0.00,0.00,1.24,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","1021","73","0","1990","A","","Fayette County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.43,1.18,1.49,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","1023","73","0","1990","A","","Fayette County, Illinois","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",7.36,3.20,3.31,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","1028","73","0","1990","A","","Fayette County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,298149,0,0,398,20681,"",1.72,0.19,0.21,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","48-49","74","0","1990","A","","Fayette County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.60,1.30,1.58,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","491","75","0","1990","A","","Fayette County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.71,1.37,1.68,0.00,0.00,1.23,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","4911","76","0","1990","A","","Fayette County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.71,1.37,1.68,0.00,0.00,1.23,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","49111","77","0","1990","A","","Fayette County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.71,1.37,1.68,0.00,0.00,1.23,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","491110","78","0","1990","A","","Fayette County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,49,1215114,0,0,479,24883,"",5.71,1.37,1.68,0.00,0.00,1.23,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","52","74","0","1990","A","","Fayette County, Illinois","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",7.39,3.26,3.34,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","522","75","0","1990","A","","Fayette County, Illinois","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",8.60,8.64,11.34,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","5222","76","0","1990","A","","Fayette County, Illinois","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",8.62,8.67,11.37,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","52229","77","0","1990","A","","Fayette County, Illinois","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",8.62,8.67,11.37,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","522294","78","0","1990","A","","Fayette County, Illinois","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,104458,0,0,423,21991,"",38.70,50.56,73.49,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","92","74","0","1990","A","","Fayette County, Illinois","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,14,298149,0,0,398,20681,"",1.72,0.19,0.21,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","924","75","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,59628,0,0,491,25555,"",2.17,0.41,0.64,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","9241","76","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,59628,0,0,491,25555,"",2.17,0.41,0.64,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","92412","77","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,59628,0,0,491,25555,"",2.20,0.47,0.78,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","924120","78","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,59628,0,0,491,25555,"",2.20,0.47,0.78,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","926","75","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,238521,0,0,380,19740,"",2.86,1.07,1.20,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","9261","76","0","1990","A","","Fayette County, Illinois","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,238521,0,0,380,19740,"",2.86,1.07,1.20,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","92614","77","0","1990","A","","Fayette County, Illinois","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,238521,0,0,380,19740,"",4.98,5.37,5.33,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","1","926140","78","0","1990","A","","Fayette County, Illinois","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,238521,0,0,380,19740,"",4.98,5.37,5.33,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","3","102","72","0","1990","A","","Fayette County, Illinois","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,691,9661737,0,0,269,13989,"",3.17,1.53,1.42,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17051","3","1025","73","0","1990","A","","Fayette County, Illinois","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,389,6458963,0,0,319,16600,"",2.21,1.38,1.56,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
