"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17125","0","10","70","0","1990","A","","Mason County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",365,3144,47791860,0,0,292,15203,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,2.0,-197,-5.9,-2686686,-5.3,-20542582,-100.0,-720022,-100.0,2,0.7,95,0.6
"17125","1","10","71","0","1990","A","","Mason County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,66,1536713,0,0,449,23342,"",2.88,0.71,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,115571,8.1,0,0.0,0,0.0,35,8.5,1810,8.4
"17125","1","102","72","0","1990","A","","Mason County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,66,1536713,0,0,449,23342,"",2.90,0.74,0.88,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","1021","73","0","1990","A","","Mason County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.72,1.91,2.20,0.00,0.00,1.17,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","1028","73","0","1990","A","","Mason County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,319942,0,0,461,23996,"",2.09,0.27,0.34,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","48-49","74","0","1990","A","","Mason County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.86,2.11,2.33,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","491","75","0","1990","A","","Mason County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.96,2.22,2.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","4911","76","0","1990","A","","Mason County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.96,2.22,2.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","49111","77","0","1990","A","","Mason County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.96,2.22,2.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17125","1","491110","78","0","1990","A","","Mason County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,53,1216771,0,0,446,23177,"",4.96,2.22,2.48,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
