"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17131","0","10","70","0","1990","A","","Mercer County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",320,2755,41344528,0,0,289,15009,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6,1.9,8,0.3,3404645,9.0,-15585807,-100.0,-482304,-100.0,24,9.1,1198,8.7
"17131","1","10","71","0","1990","A","","Mercer County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,80,1972077,0,0,476,24728,"",3.69,0.98,1.25,0.00,0.00,1.28,1.28,"",0,0.0,-1,-1.2,206191,11.7,0,0.0,0,0.0,57,13.6,2927,13.4
"17131","1","102","72","0","1990","A","","Mercer County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,80,1972077,0,0,476,24728,"",3.72,1.02,1.31,0.00,0.00,1.28,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","1021","73","0","1990","A","","Mercer County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,51,1179542,0,0,443,23015,"",6.46,2.10,2.47,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","1024","73","0","1990","A","","Mercer County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,494123,0,0,671,34879,"",17.80,7.82,14.54,0.00,0.00,1.84,1.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","1028","73","0","1990","A","","Mercer County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,14,298412,0,0,400,20819,"",1.59,0.33,0.37,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","48-49","74","0","1990","A","","Mercer County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,51,1179542,0,0,443,23015,"",6.66,2.31,2.61,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","491","75","0","1990","A","","Mercer County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,51,1179542,0,0,443,23015,"",6.79,2.44,2.78,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","4911","76","0","1990","A","","Mercer County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,51,1179542,0,0,443,23015,"",6.79,2.44,2.78,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","1","49111","77","0","1990","A","","Mercer County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,51,1179542,0,0,443,23015,"",6.79,2.44,2.78,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
