"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18009","0","10","70","0","1990","A","","Blackford County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",303,4511,81471228,0,0,347,18061,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.7,-77,-1.7,513787,0.6,-26507355,-100.0,-420985,-100.0,8,2.4,416,2.4
"18009","1","10","71","0","1990","A","","Blackford County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,34,934784,0,0,525,27293,"",1.30,0.25,0.30,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.9,49829,5.6,0,0.0,0,0.0,39,8.0,2009,7.9
"18009","1","102","72","0","1990","A","","Blackford County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,34,934784,0,0,525,27293,"",1.31,0.27,0.32,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","1021","73","0","1990","A","","Blackford County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.14,0.68,0.85,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","1028","73","0","1990","A","","Blackford County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,130375,0,0,362,18849,"",1.68,0.10,0.08,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","48-49","74","0","1990","A","","Blackford County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.17,0.75,0.90,0.00,0.00,1.20,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","491","75","0","1990","A","","Blackford County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.20,0.79,0.96,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","4911","76","0","1990","A","","Blackford County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.20,0.79,0.96,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","49111","77","0","1990","A","","Blackford County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.20,0.79,0.96,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","491110","78","0","1990","A","","Blackford County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,804409,0,0,566,29430,"",1.20,0.79,0.96,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18009","1","92","74","0","1990","A","","Blackford County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,7,130375,0,0,362,18849,"",1.68,0.10,0.08,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
