"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18017","0","10","70","0","1990","A","","Cass County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",864,15267,276271306,0,0,348,18095,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-0.6,-160,-1.0,7622119,2.8,-84744522,-100.0,-1214888,-100.0,14,4.2,681,3.9
"18017","1","10","71","0","1990","A","","Cass County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,119,3211591,0,0,519,26969,"",0.61,0.26,0.31,0.00,0.00,1.16,1.16,"",0,0.0,-3,-2.5,169133,5.6,0,0.0,0,0.0,40,8.4,2031,8.1
"18017","1","102","72","0","1990","A","","Cass County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,119,3211591,0,0,519,26969,"",0.61,0.27,0.32,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","1021","73","0","1990","A","","Cass County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.40,0.63,0.74,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","1028","73","0","1990","A","","Cass County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",0.59,0.11,0.13,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","48-49","74","0","1990","A","","Cass County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.41,0.70,0.78,0.00,0.00,1.13,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","491","75","0","1990","A","","Cass County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.42,0.73,0.83,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","4911","76","0","1990","A","","Cass County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.42,0.73,0.83,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","49111","77","0","1990","A","","Cass County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.42,0.73,0.83,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","491110","78","0","1990","A","","Cass County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,85,2362128,0,0,534,27763,"",0.42,0.73,0.83,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","92","74","0","1990","A","","Cass County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",0.59,0.11,0.13,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","926","75","0","1990","A","","Cass County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",1.47,0.71,0.93,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","9261","76","0","1990","A","","Cass County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",1.47,0.71,0.93,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","92614","77","0","1990","A","","Cass County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",2.56,3.58,4.14,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","1","926140","78","0","1990","A","","Cass County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,26,724073,0,0,546,28395,"",2.56,3.58,4.14,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","2","10","71","0","1990","A","","Cass County, Indiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,880,17555978,0,0,384,19954,"",2.75,1.58,1.58,0.00,0.00,1.00,1.00,"",0,0.0,-23,-2.5,388961,2.3,0,0.0,0,0.0,19,5.2,943,5.0
"18017","2","102","72","0","1990","A","","Cass County, Indiana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,880,17555978,0,0,384,19954,"",2.84,1.62,1.61,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","2","922","75","0","1990","A","","Cass County, Indiana","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,260189,0,0,561,29180,"",2.14,0.13,0.16,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","2","9221","76","0","1990","A","","Cass County, Indiana","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,260189,0,0,561,29180,"",2.14,0.13,0.16,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","2","923","75","0","1990","A","","Cass County, Indiana","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,42,841929,0,0,382,19849,"",4.47,0.74,0.74,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","2","9231","76","0","1990","A","","Cass County, Indiana","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,42,841929,0,0,382,19849,"",4.47,0.74,0.74,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","3","10","71","0","1990","A","","Cass County, Indiana","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,1954,38632689,0,0,380,19772,"",1.15,1.32,1.44,0.00,0.00,1.09,1.09,"",0,0.0,6,0.3,3182086,9.0,-39730,-100.0,-425,-100.0,31,8.9,1574,8.6
"18017","3","102","72","0","1990","A","","Cass County, Indiana","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1954,38632689,0,0,380,19772,"",1.20,1.33,1.45,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","5","10","71","0","1990","A","","Cass County, Indiana","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",821,12315,216871048,0,0,339,17611,"",0.98,0.96,0.95,0.00,0.00,0.99,0.99,"",-5,-0.6,-139,-1.1,3881939,1.8,-84704792,-100.0,-1214463,-100.0,11,3.4,509,3.0
"18017","5","101","72","0","1990","A","","Cass County, Indiana","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",152,5827,125763609,0,0,415,21581,"",0.91,1.68,1.73,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","5","1011","73","0","1990","A","","Cass County, Indiana","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",7,91,1874775,0,0,398,20716,"",0.39,0.37,0.44,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18017","5","1012","73","0","1990","A","","Cass County, Indiana","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",84,432,9719429,0,0,433,22494,"",0.89,0.59,0.66,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
