"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18085","0","10","70","0","1990","A","","Kosciusko County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1518,28134,641805088,0,0,439,22813,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,0.3,-214,-0.8,41212405,6.9,-183797580,-100.0,-1684524,-100.0,32,7.9,1627,7.7
"18085","1","10","71","0","1990","A","","Kosciusko County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,175,4536114,0,0,500,25995,"",0.43,0.21,0.19,0.00,0.00,0.89,0.89,"",0,0.0,-6,-3.3,387132,9.3,0,0.0,0,0.0,60,13.6,3073,13.4
"18085","1","102","72","0","1990","A","","Kosciusko County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,175,4536114,0,0,500,25995,"",0.44,0.22,0.19,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","1021","73","0","1990","A","","Kosciusko County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.23,0.55,0.49,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","1028","73","0","1990","A","","Kosciusko County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,32,820319,0,0,490,25502,"",0.50,0.07,0.06,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","48-49","74","0","1990","A","","Kosciusko County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.23,0.61,0.52,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","491","75","0","1990","A","","Kosciusko County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.24,0.64,0.55,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","4911","76","0","1990","A","","Kosciusko County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.24,0.64,0.55,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","49111","77","0","1990","A","","Kosciusko County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.24,0.64,0.55,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18085","1","491110","78","0","1990","A","","Kosciusko County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,137,3619325,0,0,510,26499,"",0.24,0.64,0.55,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
