"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18117","0","10","70","0","1990","A","","Orange County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",380,6235,98043908,0,0,302,15725,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",16,4.4,-201,-3.1,628689,0.6,-41218595,-100.0,-794701,-100.0,11,3.8,590,3.9
"18117","1","10","71","0","1990","A","","Orange County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,53,1426795,0,0,518,26921,"",1.38,0.29,0.38,0.00,0.00,1.34,1.33,"",1,33.3,1,1.9,189453,15.3,0,0.0,0,0.0,61,13.3,3126,13.1
"18117","1","102","72","0","1990","A","","Orange County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,53,1426795,0,0,518,26921,"",1.39,0.30,0.40,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","1021","73","0","1990","A","","Orange County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.91,0.69,0.96,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","1028","73","0","1990","A","","Orange County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,15,340487,0,0,441,22954,"",2.01,0.16,0.18,0.00,0.00,1.14,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","48-49","74","0","1990","A","","Orange County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.93,0.76,1.01,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","491","75","0","1990","A","","Orange County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.95,0.80,1.08,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","4911","76","0","1990","A","","Orange County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.95,0.80,1.08,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","49111","77","0","1990","A","","Orange County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.95,0.80,1.08,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","491110","78","0","1990","A","","Orange County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,38,1086308,0,0,547,28462,"",0.95,0.80,1.08,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","92","74","0","1990","A","","Orange County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,15,340487,0,0,441,22954,"",2.01,0.16,0.18,0.00,0.00,1.14,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","922","75","0","1990","A","","Orange County, Indiana","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,10896,0,0,359,18679,"",9.34,0.16,0.07,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","9221","76","0","1990","A","","Orange County, Indiana","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,10896,0,0,359,18679,"",9.34,0.16,0.07,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","92219","77","0","1990","A","","Orange County, Indiana","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,10896,0,0,359,18679,"",65.96,6.61,3.02,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","922190","78","0","1990","A","","Orange County, Indiana","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,10896,0,0,359,18679,"",65.96,6.61,3.02,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","926","75","0","1990","A","","Orange County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,329591,0,0,445,23129,"",3.34,0.94,1.19,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","9261","76","0","1990","A","","Orange County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,329591,0,0,445,23129,"",3.34,0.94,1.19,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","92614","77","0","1990","A","","Orange County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,329591,0,0,445,23129,"",5.82,4.71,5.31,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","1","926140","78","0","1990","A","","Orange County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,329591,0,0,445,23129,"",5.82,4.71,5.31,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","2","10","71","0","1990","A","","Orange County, Indiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,137,2386372,0,0,335,17440,"",4.84,0.60,0.60,0.00,0.00,1.01,1.01,"N",17,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","2","102","72","0","1990","A","","Orange County, Indiana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,137,2386372,0,0,335,17440,"",4.99,0.62,0.62,0.00,0.00,1.01,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","2","1028","73","0","1990","A","","Orange County, Indiana","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,137,2386372,0,0,335,17440,"",6.78,1.48,1.40,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","2","92","74","0","1990","A","","Orange County, Indiana","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,137,2386372,0,0,335,17440,"",6.78,1.48,1.40,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","10","71","0","1990","A","","Orange County, Indiana","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,722,13732380,0,0,366,19031,"",3.09,1.19,1.44,0.00,0.00,1.21,1.21,"",0,0.0,11,1.5,1431372,11.6,-1363563,-100.0,-7532,-100.0,34,10.2,1731,10.0
"18117","3","102","72","0","1990","A","","Orange County, Indiana","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,722,13732380,0,0,366,19031,"",3.22,1.20,1.45,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","1025","73","0","1990","A","","Orange County, Indiana","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,532,11537903,0,0,417,21684,"",3.23,1.42,2.00,0.00,0.00,1.41,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","61","74","0","1990","A","","Orange County, Indiana","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,385,9282699,0,0,464,24121,"",3.11,1.17,1.81,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","611","75","0","1990","A","","Orange County, Indiana","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,385,9282699,0,0,464,24121,"",3.11,1.17,1.81,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","6111","76","0","1990","A","","Orange County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,385,9282699,0,0,464,24121,"",3.28,1.26,1.93,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","61111","77","0","1990","A","","Orange County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,385,9282699,0,0,464,24121,"",3.28,1.26,1.93,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","611110","78","0","1990","A","","Orange County, Indiana","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,385,9282699,0,0,464,24121,"",3.28,1.26,1.93,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","921","75","0","1990","A","","Orange County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,173,2065891,0,0,230,11976,"",5.11,1.41,1.15,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","9211","76","0","1990","A","","Orange County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,173,2065891,0,0,230,11976,"",5.11,1.41,1.15,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","92119","77","0","1990","A","","Orange County, Indiana","Local Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,173,2065891,0,0,230,11976,"",47.23,15.10,13.14,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","3","921190","78","0","1990","A","","Orange County, Indiana","Local Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,173,2065891,0,0,230,11976,"",47.23,15.10,13.14,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","10","71","0","1990","A","","Orange County, Indiana","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",339,5324,80498361,0,0,291,15121,"",0.92,1.02,1.00,0.00,0.00,0.98,0.98,"",13,4.0,-209,-3.8,-1004907,-1.2,-39855032,-100.0,-787169,-100.0,8,2.8,391,2.7
"18117","5","101","72","0","1990","A","","Orange County, Indiana","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",83,2876,51636351,0,0,345,17952,"",1.13,2.03,2.00,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","1011","73","0","1990","A","","Orange County, Indiana","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",7,68,1720664,0,0,490,25460,"",0.90,0.68,1.13,0.00,0.00,1.68,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","1012","73","0","1990","A","","Orange County, Indiana","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",39,408,9318349,0,0,439,22820,"",0.94,1.37,1.78,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","1013","73","0","1990","A","","Orange County, Indiana","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",37,2401,40597338,0,0,325,16912,"",1.53,2.35,2.13,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","102","72","0","1990","A","","Orange County, Indiana","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",256,2447,28862010,0,0,227,11794,"",0.87,0.64,0.52,0.00,0.00,0.82,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18117","5","1021","73","0","1990","A","","Orange County, Indiana","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",118,789,10112797,0,0,247,12825,"",1.18,0.61,0.55,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
