"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19057","0","10","70","0","1990","A","","Des Moines County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1333,20924,433108036,0,0,398,20699,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",65,5.1,168,0.8,29632465,7.3,-174031840,-100.0,-5603735,-100.0,25,6.7,1261,6.5
"19057","1","10","71","0","1990","A","","Des Moines County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,207,5852777,0,0,544,28308,"",1.08,0.33,0.36,0.00,0.00,1.06,1.07,"",-2,-15.4,-20,-8.8,31332,0.5,0,0.0,0,0.0,51,10.3,2663,10.4
"19057","1","102","72","0","1990","A","","Des Moines County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,207,5852777,0,0,544,28308,"",1.09,0.35,0.37,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","1021","73","0","1990","A","","Des Moines County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.26,0.70,0.76,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","1024","73","0","1990","A","","Des Moines County, Iowa","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,837966,0,0,551,28648,"",4.27,2.13,2.35,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","1028","73","0","1990","A","","Des Moines County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,48,1197635,0,0,482,25081,"",1.72,0.15,0.14,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","48-49","74","0","1990","A","","Des Moines County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.27,0.78,0.81,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","491","75","0","1990","A","","Des Moines County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.27,0.82,0.86,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","4911","76","0","1990","A","","Des Moines County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.27,0.82,0.86,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","49111","77","0","1990","A","","Des Moines County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.27,0.82,0.86,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","491110","78","0","1990","A","","Des Moines County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,130,3817176,0,0,566,29419,"",0.27,0.82,0.86,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","54","74","0","1990","A","","Des Moines County, Iowa","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,837966,0,0,551,28648,"",4.38,2.23,2.39,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","541","75","0","1990","A","","Des Moines County, Iowa","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,837966,0,0,551,28648,"",4.38,2.23,2.39,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","5413","76","0","1990","A","","Des Moines County, Iowa","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,837966,0,0,551,28648,"",8.46,3.94,4.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19057","1","54133","77","0","1990","A","","Des Moines County, Iowa","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,837966,0,0,551,28648,"",8.67,3.97,4.14,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
