"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19085","0","10","70","0","1990","A","","Harrison County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",409,3280,45844040,0,0,269,13979,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",20,5.1,97,3.0,1983891,4.5,-19545033,-100.0,-333295,-100.0,5,1.9,200,1.5
"19085","1","10","71","0","1990","A","","Harrison County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,104,2476458,0,0,457,23774,"",1.93,1.07,1.42,0.00,0.00,1.32,1.32,"",-1,-14.3,-3,-2.8,117338,5.0,0,0.0,0,0.0,34,8.0,1727,7.8
"19085","1","102","72","0","1990","A","","Harrison County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,104,2476458,0,0,457,23774,"",1.94,1.12,1.49,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","1021","73","0","1990","A","","Harrison County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.84,1.90,2.70,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","1023","73","0","1990","A","","Harrison County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,88618,0,0,292,15192,"",7.99,5.49,4.32,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","1028","73","0","1990","A","","Harrison County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,43,956004,0,0,425,22104,"",2.49,0.86,1.06,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","48-49","74","0","1990","A","","Harrison County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.87,2.10,2.86,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","491","75","0","1990","A","","Harrison County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.89,2.21,3.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","4911","76","0","1990","A","","Harrison County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.89,2.21,3.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","49111","77","0","1990","A","","Harrison County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.89,2.21,3.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","491110","78","0","1990","A","","Harrison County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,55,1431836,0,0,500,25994,"",0.89,2.21,3.04,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19085","1","52","74","0","1990","A","","Harrison County, Iowa","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,88618,0,0,292,15192,"",8.02,5.59,4.36,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
