"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19189","0","10","70","0","1990","A","","Winnebago County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",386,6517,112803140,0,0,333,17310,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",16,4.3,-571,-8.1,-2088241,-1.8,-61812755,-100.0,-1215373,-100.0,22,7.1,1101,6.8
"19189","1","10","71","0","1990","A","","Winnebago County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,60,1331107,0,0,428,22278,"",1.70,0.31,0.31,0.00,0.00,1.00,1.00,"",0,0.0,-4,-6.2,10816,0.8,0,0.0,0,0.0,32,8.1,1649,8.0
"19189","1","102","72","0","1990","A","","Winnebago County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,60,1331107,0,0,428,22278,"",1.71,0.32,0.32,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","1021","73","0","1990","A","","Winnebago County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.89,0.71,0.77,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","1028","73","0","1990","A","","Winnebago County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,327039,0,0,331,17213,"",2.64,0.19,0.15,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","48-49","74","0","1990","A","","Winnebago County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.92,0.79,0.82,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","491","75","0","1990","A","","Winnebago County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.94,0.83,0.87,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","4911","76","0","1990","A","","Winnebago County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.94,0.83,0.87,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","49111","77","0","1990","A","","Winnebago County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.94,0.83,0.87,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","491110","78","0","1990","A","","Winnebago County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,41,1004068,0,0,474,24640,"",0.94,0.83,0.87,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","92","74","0","1990","A","","Winnebago County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,327039,0,0,331,17213,"",2.64,0.19,0.15,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","924","75","0","1990","A","","Winnebago County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,35842,0,0,318,16542,"",2.50,0.29,0.24,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","9241","76","0","1990","A","","Winnebago County, Iowa","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,35842,0,0,318,16542,"",2.50,0.29,0.24,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","92412","77","0","1990","A","","Winnebago County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,35842,0,0,318,16542,"",2.53,0.34,0.29,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19189","1","924120","78","0","1990","A","","Winnebago County, Iowa","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,35842,0,0,318,16542,"",2.53,0.34,0.29,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
