"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20023","0","10","70","0","1990","A","","Cheyenne County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",139,879,11532209,0,0,252,13122,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,2.2,34,4.0,476998,4.3,-6250604,-100.0,-60111,-100.0,1,0.4,39,0.3
"20023","1","10","71","0","1990","A","","Cheyenne County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,20,390864,0,0,374,19462,"",2.84,0.77,0.89,0.00,0.00,1.16,1.16,"",0,0.0,-3,-13.0,-7263,-1.8,0,0.0,0,0.0,42,12.7,2153,12.4
"20023","1","102","72","0","1990","A","","Cheyenne County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,20,390864,0,0,374,19462,"",2.85,0.80,0.93,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","1021","73","0","1990","A","","Cheyenne County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.48,1.29,1.59,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","1028","73","0","1990","A","","Cheyenne County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,178268,0,0,334,17392,"",3.66,0.74,0.78,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","48-49","74","0","1990","A","","Cheyenne County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.55,1.42,1.69,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","491","75","0","1990","A","","Cheyenne County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.61,1.50,1.80,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","4911","76","0","1990","A","","Cheyenne County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.61,1.50,1.80,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","49111","77","0","1990","A","","Cheyenne County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.61,1.50,1.80,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","491110","78","0","1990","A","","Cheyenne County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,212596,0,0,416,21620,"",2.61,1.50,1.80,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","92","74","0","1990","A","","Cheyenne County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,178268,0,0,334,17392,"",3.66,0.74,0.78,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","924","75","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,55337,0,0,426,22135,"",6.93,3.26,3.65,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","9241","76","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,55337,0,0,426,22135,"",6.93,3.26,3.65,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","92412","77","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,55337,0,0,426,22135,"",7.04,3.76,4.41,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","924120","78","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,55337,0,0,426,22135,"",7.04,3.76,4.41,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","926","75","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,122931,0,0,305,15862,"",4.56,3.81,3.79,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","9261","76","0","1990","A","","Cheyenne County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,122931,0,0,305,15862,"",4.56,3.81,3.79,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","92614","77","0","1990","A","","Cheyenne County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,122931,0,0,305,15862,"",7.95,19.11,16.82,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","1","926140","78","0","1990","A","","Cheyenne County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,122931,0,0,305,15862,"",7.95,19.11,16.82,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","5","10","71","0","1990","A","","Cheyenne County, Kansas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",119,630,7968837,0,0,243,12654,"",0.89,0.86,0.84,0.00,0.00,0.98,0.98,"",3,2.6,31,5.2,304492,4.0,-3542270,-100.0,-56810,-100.0,-3,-1.2,-141,-1.1
"20023","5","101","72","0","1990","A","","Cheyenne County, Kansas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",10,33,467702,0,0,276,14354,"",0.37,0.16,0.15,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","5","1011","73","0","1990","A","","Cheyenne County, Kansas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",4,19,282044,0,0,281,14588,"",1.40,1.35,1.58,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20023","5","102","72","0","1990","A","","Cheyenne County, Kansas","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",109,597,7501135,0,0,242,12561,"",1.01,1.12,1.16,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
