"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20075","0","10","70","0","1990","A","","Hamilton County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",110,815,11943759,0,0,282,14647,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.9,3,0.4,1116711,10.3,-6545541,-100.0,-78074,-100.0,26,10.2,1314,9.9
"20075","1","10","71","0","1990","A","","Hamilton County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,19,364797,0,0,366,19033,"",4.78,0.79,0.80,0.00,0.00,1.01,1.01,"",0,0.0,-5,-20.8,4199,1.2,0,0.0,0,0.0,78,27.1,4009,26.7
"20075","1","102","72","0","1990","A","","Hamilton County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,19,364797,0,0,366,19033,"",4.80,0.82,0.84,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","1021","73","0","1990","A","","Hamilton County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.13,0.84,0.88,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","1028","73","0","1990","A","","Hamilton County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,10,179031,0,0,356,18520,"",4.63,0.80,0.76,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","48-49","74","0","1990","A","","Hamilton County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.23,0.92,0.94,0.00,0.00,0.96,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","491","75","0","1990","A","","Hamilton County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.29,0.97,1.00,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","4911","76","0","1990","A","","Hamilton County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.29,0.97,1.00,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","49111","77","0","1990","A","","Hamilton County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.29,0.97,1.00,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","491110","78","0","1990","A","","Hamilton County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,122170,0,0,371,19290,"",3.29,0.97,1.00,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","92","74","0","1990","A","","Hamilton County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,179031,0,0,356,18520,"",4.63,0.80,0.76,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","924","75","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,72658,0,0,373,19375,"",8.76,4.68,4.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","9241","76","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,72658,0,0,373,19375,"",8.76,4.68,4.63,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","92412","77","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,72658,0,0,373,19375,"",8.89,5.40,5.60,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","924120","78","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,72658,0,0,373,19375,"",8.89,5.40,5.60,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","926","75","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,106373,0,0,346,17979,"",5.77,3.08,3.16,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","9261","76","0","1990","A","","Hamilton County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,106373,0,0,346,17979,"",5.77,3.08,3.16,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","92614","77","0","1990","A","","Hamilton County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,106373,0,0,346,17979,"",10.05,15.46,14.06,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","1","926140","78","0","1990","A","","Hamilton County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,106373,0,0,346,17979,"",10.05,15.46,14.06,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","3","1025","73","0","1990","A","","Hamilton County, Kansas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,174,2429290,0,0,269,13968,"",8.92,3.57,3.46,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","5","10","71","0","1990","A","","Hamilton County, Kansas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",89,469,7430395,0,0,305,15852,"",0.84,0.69,0.75,0.00,0.00,1.10,1.10,"",0,0.0,5,1.1,936095,14.4,-3073733,-100.0,-61504,-100.0,36,13.4,1856,13.3
"20075","5","101","72","0","1990","A","","Hamilton County, Kansas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",14,104,2979349,0,0,553,28740,"",0.66,0.56,0.95,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","5","1011","73","0","1990","A","","Hamilton County, Kansas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",13,99,2915989,0,0,566,29454,"",5.75,7.58,15.75,0.00,0.00,2.08,2.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20075","5","102","72","0","1990","A","","Hamilton County, Kansas","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",76,365,4451046,0,0,234,12192,"",0.89,0.74,0.66,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
