"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20105","0","10","70","0","1990","A","","Lincoln County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",121,991,12292366,0,0,239,12406,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.8,57,6.1,1304449,11.9,-6898511,-100.0,-82018,-100.0,13,5.8,642,5.5
"20105","1","10","71","0","1990","A","","Lincoln County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,42,945692,0,0,432,22472,"",4.34,1.43,2.02,0.00,0.00,1.41,1.41,"",0,0.0,-2,-4.5,-3979,-0.4,0,0.0,0,0.0,17,4.1,889,4.1
"20105","1","102","72","0","1990","A","","Lincoln County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,42,945692,0,0,432,22472,"",4.37,1.49,2.12,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","1021","73","0","1990","A","","Lincoln County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.85,1.72,2.58,0.00,0.00,1.47,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","1024","73","0","1990","A","","Lincoln County, Kansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",47.07,18.63,29.34,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","1028","73","0","1990","A","","Lincoln County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,15,282857,0,0,375,19507,"",4.20,0.99,1.17,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","48-49","74","0","1990","A","","Lincoln County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.93,1.89,2.73,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","491","75","0","1990","A","","Lincoln County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.99,1.99,2.91,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","4911","76","0","1990","A","","Lincoln County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.99,1.99,2.91,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","49111","77","0","1990","A","","Lincoln County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.99,1.99,2.91,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","491110","78","0","1990","A","","Lincoln County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,366405,0,0,462,24027,"",2.99,1.99,2.91,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","54","74","0","1990","A","","Lincoln County, Kansas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",48.30,19.46,29.83,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","541","75","0","1990","A","","Lincoln County, Kansas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",48.30,19.46,29.83,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","5413","76","0","1990","A","","Lincoln County, Kansas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",93.18,34.41,51.28,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","54133","77","0","1990","A","","Lincoln County, Kansas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",95.49,34.67,51.65,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","541330","78","0","1990","A","","Lincoln County, Kansas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,296430,0,0,462,24035,"",95.49,34.67,51.65,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","92","74","0","1990","A","","Lincoln County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,15,282857,0,0,375,19507,"",4.20,0.99,1.17,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","924","75","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,114039,0,0,446,23194,"",7.97,4.82,7.06,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","9241","76","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,114039,0,0,446,23194,"",7.97,4.82,7.06,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","92412","77","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,114039,0,0,446,23194,"",8.08,5.56,8.54,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","924120","78","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,114039,0,0,446,23194,"",8.08,5.56,8.54,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","926","75","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,168818,0,0,339,17616,"",5.24,4.23,4.88,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20105","1","9261","76","0","1990","A","","Lincoln County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,168818,0,0,339,17616,"",5.24,4.23,4.88,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
