"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20117","0","10","70","0","1990","A","","Marshall County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",395,3618,55370666,0,0,294,15304,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",10,2.6,57,1.6,3182738,6.1,-28311692,-100.0,-451458,-100.0,13,4.6,649,4.4
"20117","1","10","71","0","1990","A","","Marshall County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,78,1632815,0,0,404,21023,"",1.66,0.73,0.78,0.00,0.00,1.07,1.07,"",0,0.0,-1,-1.3,52536,3.3,0,0.0,0,0.0,20,5.2,1020,5.1
"20117","1","102","72","0","1990","A","","Marshall County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,78,1632815,0,0,404,21023,"",1.67,0.76,0.81,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","1021","73","0","1990","A","","Marshall County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,51,1166190,0,0,444,23093,"",0.87,1.60,1.82,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","1023","73","0","1990","A","","Marshall County, Kansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,110781,0,0,304,15826,"",8.27,5.81,4.48,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","1028","73","0","1990","A","","Marshall County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,20,355844,0,0,339,17645,"",1.93,0.36,0.33,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","48-49","74","0","1990","A","","Marshall County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,51,1166190,0,0,444,23093,"",0.90,1.76,1.93,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","491","75","0","1990","A","","Marshall County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,51,1166190,0,0,444,23093,"",0.92,1.86,2.05,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","4911","76","0","1990","A","","Marshall County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,51,1166190,0,0,444,23093,"",0.92,1.86,2.05,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20117","1","49111","77","0","1990","A","","Marshall County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,51,1166190,0,0,444,23093,"",0.92,1.86,2.05,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
