"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20171","0","10","70","0","1990","A","","Scott County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",245,1905,31824337,0,0,321,16702,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,0.8,-31,-1.6,264082,0.8,-15409059,-100.0,-180317,-100.0,8,2.6,401,2.5
"20171","1","10","71","0","1990","A","","Scott County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,27,620700,0,0,448,23276,"",2.14,0.48,0.51,0.00,0.00,1.09,1.09,"",-1,-20.0,-26,-49.1,-615073,-49.8,0,0.0,0,0.0,0,0.0,-40,-0.2
"20171","1","102","72","0","1990","A","","Scott County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,27,620700,0,0,448,23276,"",2.16,0.50,0.54,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","1021","73","0","1990","A","","Scott County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.41,0.95,1.08,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","1028","73","0","1990","A","","Scott County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,223460,0,0,388,20162,"",3.11,0.38,0.36,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","48-49","74","0","1990","A","","Scott County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.45,1.05,1.14,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","491","75","0","1990","A","","Scott County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.48,1.11,1.22,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","4911","76","0","1990","A","","Scott County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.48,1.11,1.22,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","49111","77","0","1990","A","","Scott County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.48,1.11,1.22,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","491110","78","0","1990","A","","Scott County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,397240,0,0,490,25491,"",1.48,1.11,1.22,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","92","74","0","1990","A","","Scott County, Kansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,223460,0,0,388,20162,"",3.11,0.38,0.36,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","924","75","0","1990","A","","Scott County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,57176,0,0,600,31187,"",3.93,1.00,1.37,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","9241","76","0","1990","A","","Scott County, Kansas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,57176,0,0,600,31187,"",3.93,1.00,1.37,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","92412","77","0","1990","A","","Scott County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,57176,0,0,600,31187,"",3.99,1.16,1.65,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","924120","78","0","1990","A","","Scott County, Kansas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,57176,0,0,600,31187,"",3.99,1.16,1.65,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","926","75","0","1990","A","","Scott County, Kansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,112966,0,0,307,15948,"",2.59,1.54,1.26,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","9261","76","0","1990","A","","Scott County, Kansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,112966,0,0,307,15948,"",2.59,1.54,1.26,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","92614","77","0","1990","A","","Scott County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,112966,0,0,307,15948,"",4.51,7.71,5.60,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","1","926140","78","0","1990","A","","Scott County, Kansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,112966,0,0,307,15948,"",4.51,7.71,5.60,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20171","2","10","71","0","1990","A","","Scott County, Kansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,26,462094,0,0,344,17888,"",3.97,0.37,0.36,0.00,0.00,0.97,0.97,"",0,0.0,4,18.2,62382,15.6,0,0.0,0,0.0,-5,-1.4,-280,-1.5
