"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20177","0","10","70","0","1990","A","","Shawnee County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4418,88511,1866522452,0,0,406,21088,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",38,0.9,659,0.8,102454511,5.8,-570962127,-100.0,-11885929,-100.0,20,5.2,1009,5.0
"20177","1","10","71","0","1990","A","","Shawnee County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,2623,87955125,0,0,645,33533,"",0.83,1.00,1.24,0.00,0.00,1.24,1.24,"",2,7.7,-109,-4.0,8497014,10.7,0,0.0,0,0.0,86,15.4,4449,15.3
"20177","1","102","72","0","1990","A","","Shawnee County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,2623,87955125,0,0,645,33533,"",0.84,1.04,1.30,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","1021","73","0","1990","A","","Shawnee County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,933,31507309,0,0,649,33761,"",0.16,1.20,1.46,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","1023","73","0","1990","A","","Shawnee County, Kansas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,54,1682658,0,0,605,31452,"",2.22,1.83,2.02,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","1024","73","0","1990","A","","Shawnee County, Kansas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,28,1176567,0,0,801,41648,"",1.29,0.49,0.77,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","1025","73","0","1990","A","","Shawnee County, Kansas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1165,39692951,0,0,655,34066,"",2.93,5.41,6.69,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","1028","73","0","1990","A","","Shawnee County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",21,443,13895640,0,0,604,31385,"",1.21,0.33,0.38,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","48-49","74","0","1990","A","","Shawnee County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,933,31507309,0,0,649,33761,"",0.16,1.32,1.55,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20177","1","491","75","0","1990","A","","Shawnee County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,932,31461825,0,0,649,33748,"",0.08,1.39,1.64,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
