"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21029","0","10","70","0","1990","A","","Bullitt County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",519,7138,116921635,0,0,315,16380,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",20,4.0,197,2.8,7964680,7.3,-40806610,-100.0,-943281,-100.0,14,4.7,683,4.4
"21029","1","10","71","0","1990","A","","Bullitt County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,63,1362573,0,0,414,21514,"",1.77,0.30,0.31,0.00,0.00,1.02,1.02,"",0,0.0,9,16.7,163529,13.6,0,0.0,0,0.0,-13,-3.0,-690,-3.1
"21029","1","102","72","0","1990","A","","Bullitt County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,63,1362573,0,0,414,21514,"",1.78,0.31,0.32,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","1021","73","0","1990","A","","Bullitt County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",1.99,0.70,0.81,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","1028","73","0","1990","A","","Bullitt County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,150012,0,0,202,10527,"",1.47,0.13,0.07,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","48-49","74","0","1990","A","","Bullitt County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",2.05,0.77,0.86,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","491","75","0","1990","A","","Bullitt County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",2.09,0.81,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","4911","76","0","1990","A","","Bullitt County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",2.09,0.81,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","49111","77","0","1990","A","","Bullitt County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",2.09,0.81,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21029","1","491110","78","0","1990","A","","Bullitt County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,44,1099807,0,0,486,25283,"",2.09,0.81,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
