"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21031","0","10","70","0","1990","A","","Butler County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",193,3680,51992904,0,0,272,14130,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,3.8,-248,-6.3,97327,0.2,-27986875,-100.0,-894765,-100.0,18,7.1,919,7.0
"21031","1","10","71","0","1990","A","","Butler County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,41,797124,0,0,377,19601,"",5.44,0.38,0.40,0.00,0.00,1.08,1.08,"",0,0.0,1,2.5,53049,7.1,0,0.0,0,0.0,20,5.6,1000,5.4
"21031","1","102","72","0","1990","A","","Butler County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,41,797124,0,0,377,19601,"",5.48,0.39,0.42,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","1021","73","0","1990","A","","Butler County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.14,0.77,0.87,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","1028","73","0","1990","A","","Butler County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,276180,0,0,343,17818,"",5.27,0.28,0.27,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","48-49","74","0","1990","A","","Butler County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.36,0.85,0.92,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","491","75","0","1990","A","","Butler County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.51,0.89,0.98,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","4911","76","0","1990","A","","Butler County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.51,0.89,0.98,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","49111","77","0","1990","A","","Butler County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.51,0.89,0.98,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21031","1","491110","78","0","1990","A","","Butler County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,25,520944,0,0,398,20700,"",7.51,0.89,0.98,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
