"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21055","0","10","70","0","1990","A","","Crittenden County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",164,1936,28242833,0,0,281,14591,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-1.2,-204,-9.5,254959,0.9,-10887253,-100.0,-472310,-100.0,30,12.0,1513,11.6
"21055","1","10","71","0","1990","A","","Crittenden County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,33,628553,0,0,368,19144,"",7.21,0.58,0.59,0.00,0.00,1.02,1.02,"",1,12.5,-1,-2.9,-22463,-3.5,0,0.0,0,0.0,0,0.0,-3,0.0
"21055","1","102","72","0","1990","A","","Crittenden County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,33,628553,0,0,368,19144,"",7.25,0.60,0.61,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","1021","73","0","1990","A","","Crittenden County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.40,1.35,1.50,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","1028","73","0","1990","A","","Crittenden County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,129706,0,0,267,13897,"",6.20,0.30,0.23,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","48-49","74","0","1990","A","","Crittenden County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.66,1.48,1.59,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","491","75","0","1990","A","","Crittenden County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.83,1.56,1.69,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","4911","76","0","1990","A","","Crittenden County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.83,1.56,1.69,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","49111","77","0","1990","A","","Crittenden County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.83,1.56,1.69,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","491110","78","0","1990","A","","Crittenden County, Kentucky","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,23,490754,0,0,413,21493,"",8.83,1.56,1.69,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","92","74","0","1990","A","","Crittenden County, Kentucky","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,129706,0,0,267,13897,"",6.20,0.30,0.23,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","924","75","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,97234,0,0,362,18819,"",11.75,2.46,2.62,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","9241","76","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,97234,0,0,362,18819,"",11.75,2.46,2.62,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","92412","77","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,5,97234,0,0,362,18819,"",11.93,2.84,3.17,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","924120","78","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,5,97234,0,0,362,18819,"",11.93,2.84,3.17,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","926","75","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,32472,0,0,150,7793,"",7.73,0.87,0.41,0.00,0.00,0.45,0.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","9261","76","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,32472,0,0,150,7793,"",7.73,0.87,0.41,0.00,0.00,0.45,0.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","92611","77","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,32472,0,0,150,7793,"",25.74,1.66,1.15,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","1","926110","78","0","1990","A","","Crittenden County, Kentucky","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,32472,0,0,150,7793,"",25.74,1.66,1.15,0.00,0.00,0.67,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","2","10","71","0","1990","A","","Crittenden County, Kentucky","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,36,609138,0,0,329,17119,"",7.25,0.51,0.54,0.00,0.00,1.06,1.06,"",1,10.0,-1,-2.7,31697,5.5,0,0.0,0,0.0,29,9.7,1513,9.7
"21055","2","102","72","0","1990","A","","Crittenden County, Kentucky","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,36,609138,0,0,329,17119,"",7.47,0.52,0.55,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","3","10","71","0","1990","A","","Crittenden County, Kentucky","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,304,4404421,0,0,278,14476,"",3.58,1.61,1.60,0.00,0.00,0.99,0.99,"",0,0.0,20,7.0,589898,15.5,-25960,-100.0,-208,-100.0,20,7.8,1045,7.8
"21055","3","102","72","0","1990","A","","Crittenden County, Kentucky","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,304,4404421,0,0,278,14476,"",3.73,1.63,1.62,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","3","1028","73","0","1990","A","","Crittenden County, Kentucky","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,57,675388,0,0,229,11901,"",4.83,1.03,0.82,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","3","92","74","0","1990","A","","Crittenden County, Kentucky","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,57,675388,0,0,229,11901,"",4.83,1.03,0.82,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21055","5","10","71","0","1990","A","","Crittenden County, Kentucky","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",135,1563,22600721,0,0,278,14460,"",0.85,0.97,0.97,0.00,0.00,1.00,1.01,"",-2,-1.5,-221,-12.4,-344173,-1.5,-10861293,-100.0,-472102,-100.0,31,12.6,1599,12.4
