"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22011","0","10","70","0","1990","A","","Beauregard Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",544,7022,148220481,0,0,406,21108,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",21,4.0,409,6.2,15529128,11.7,-37994469,-100.0,-1164466,-100.0,21,5.5,1043,5.2
"22011","1","10","71","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,138,4250727,0,0,591,30710,"",2.41,0.66,0.75,0.00,0.00,1.13,1.13,"",0,0.0,8,6.2,447097,11.8,0,0.0,0,0.0,29,5.2,1452,5.0
"22011","1","102","72","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,138,4250727,0,0,591,30710,"",2.43,0.69,0.79,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","1021","73","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,115,3730995,0,0,626,32561,"",3.17,1.86,2.18,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","1028","73","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,24,519732,0,0,419,21807,"",2.34,0.22,0.18,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","48-49","74","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,115,3730995,0,0,626,32561,"",3.26,2.05,2.31,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","488","75","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,55,2309084,0,0,801,41668,"",36.92,28.26,30.28,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","4881","76","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,55,2309084,0,0,801,41668,"",37.29,29.50,31.20,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","48811","77","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,55,2309084,0,0,801,41668,"",37.29,29.50,31.20,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","488111","78","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,55,2309084,0,0,801,41668,"",37.93,31.03,31.52,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","491","75","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,59,1421911,0,0,462,24032,"",2.66,1.11,0.94,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","4911","76","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,59,1421911,0,0,462,24032,"",2.66,1.11,0.94,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","49111","77","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,59,1421911,0,0,462,24032,"",2.66,1.11,0.94,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","491110","78","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,59,1421911,0,0,462,24032,"",2.66,1.11,0.94,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22011","1","92","74","0","1990","A","","Beauregard Parish, Louisiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,24,519732,0,0,419,21807,"",2.34,0.22,0.18,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
