"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22113","0","10","70","0","1990","A","","Vermilion Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",991,11472,214600632,0,0,360,18707,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,0.3,312,2.8,15701234,7.9,-72472357,-100.0,-2416725,-100.0,18,5.3,885,5.0
"22113","1","10","71","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,165,4114560,0,0,480,24962,"",2.39,0.49,0.50,0.00,0.00,1.04,1.04,"",1,5.9,7,4.4,301897,7.9,0,0.0,0,0.0,16,3.4,832,3.4
"22113","1","102","72","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,165,4114560,0,0,480,24962,"",2.40,0.51,0.53,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","1021","73","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.78,0.83,0.96,0.00,0.00,1.16,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","1024","73","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,32,817138,0,0,494,25669,"",11.50,4.29,4.63,0.00,0.00,1.09,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","1028","73","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,41,771839,0,0,358,18636,"",1.80,0.23,0.18,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","48-49","74","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.87,0.91,1.02,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","491","75","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.92,0.96,1.08,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","4911","76","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.92,0.96,1.08,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","49111","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.92,0.96,1.08,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","491110","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,84,2388291,0,0,545,28320,"",2.92,0.96,1.08,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","54","74","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,32,817138,0,0,494,25669,"",11.79,4.48,4.71,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","541","75","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,32,817138,0,0,494,25669,"",11.79,4.48,4.71,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","5413","76","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,31,812327,0,0,500,25994,"",11.38,7.68,8.05,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","54133","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,31,812327,0,0,500,25994,"",11.66,7.74,8.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","541330","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,31,812327,0,0,500,25994,"",11.66,7.74,8.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","92","74","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,41,771839,0,0,358,18636,"",1.80,0.23,0.18,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","924","75","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,82362,0,0,432,22462,"",0.97,0.33,0.29,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","9241","76","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,82362,0,0,432,22462,"",0.97,0.33,0.29,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","92412","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,82362,0,0,432,22462,"",0.99,0.38,0.35,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","924120","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,82362,0,0,432,22462,"",0.99,0.38,0.35,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","926","75","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,419486,0,0,291,15117,"",2.56,1.02,0.69,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","9261","76","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,28,419486,0,0,291,15117,"",2.56,1.02,0.69,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","92611","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,82651,0,0,147,7629,"",2.13,0.77,0.39,0.00,0.00,0.51,0.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","926110","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,82651,0,0,147,7629,"",2.13,0.77,0.39,0.00,0.00,0.51,0.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","92614","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,17,336835,0,0,383,19911,"",3.35,3.11,2.48,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","926140","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,17,336835,0,0,383,19911,"",3.35,3.11,2.48,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","928","75","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,269991,0,0,519,26999,"",5.27,0.13,0.15,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","9281","76","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,269991,0,0,519,26999,"",5.27,0.13,0.15,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","92811","77","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,269991,0,0,519,26999,"",5.56,0.13,0.15,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","1","928110","78","0","1990","A","","Vermilion Parish, Louisiana","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,269991,0,0,519,26999,"",5.56,0.13,0.15,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","2","10","71","0","1990","A","","Vermilion Parish, Louisiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,208,3650793,0,0,337,17517,"",1.75,0.50,0.42,0.00,0.00,0.85,0.85,"",-1,-5.9,-4,-1.9,145154,4.1,0,0.0,0,0.0,19,6.0,981,5.9
"22113","2","1028","73","0","1990","A","","Vermilion Parish, Louisiana","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,51,1015965,0,0,386,20052,"",1.68,0.30,0.27,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","2","92","74","0","1990","A","","Vermilion Parish, Louisiana","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,51,1015965,0,0,386,20052,"",1.68,0.30,0.27,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","10","71","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",82,2544,40449255,0,0,306,15900,"",4.85,2.28,1.94,0.00,0.00,0.85,0.85,"",1,1.2,254,11.1,5008609,14.1,-237834,-100.0,-8709,-100.0,9,3.0,424,2.7
"22113","3","101","72","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",5,162,2191952,0,0,261,13558,"",7.29,14.16,10.70,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","1012","73","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",5,162,2191952,0,0,261,13558,"",7.36,14.30,10.79,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","102","72","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",77,2382,38257303,0,0,309,16059,"",4.75,2.16,1.85,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","1021","73","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,68,906388,0,0,257,13362,"",9.85,1.54,0.85,0.00,0.00,0.55,0.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","1024","73","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",9,113,1324472,0,0,226,11764,"",20.37,12.68,7.48,0.00,0.00,0.59,0.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","1028","73","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",42,453,6381929,0,0,271,14091,"",4.80,1.39,1.02,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","2213","76","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Water, sewage and other systems","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,38,490135,0,0,250,13012,"",6.98,2.58,1.61,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","23","74","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",5,162,2191952,0,0,261,13558,"",7.36,14.30,10.79,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","237","75","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,162,2191952,0,0,261,13558,"",7.46,14.39,10.86,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22113","3","2373","76","0","1990","A","","Vermilion Parish, Louisiana","Local Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,162,2191952,0,0,261,13558,"",7.63,14.64,11.09,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
