"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"23000","0","10","50","0","1990","A","","Maine -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",36940,528787,10659417075,0,0,388,20158,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",611,1.7,-5762,-1.1,394790912,3.8,-3075764560,-100.0,-74267252,-100.0,19,5.1,956,5.0
"23000","1","10","51","0","1990","A","","Maine -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",433,19292,559024970,0,0,557,28977,"",1.54,1.23,1.38,0.00,0.00,1.12,1.12,"",1,0.2,139,0.7,23564702,4.4,0,0.0,0,0.0,20,3.7,1021,3.7
"23000","1","101","52","0","1990","A","","Maine -- Statewide","Federal Government","Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",4,8619,282055501,0,0,629,32723,"",2.44,13.28,15.93,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1013","53","0","1990","A","","Maine -- Statewide","Federal Government","Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,8604,281649835,0,0,630,32737,"",6.08,15.39,18.20,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","102","52","0","1990","A","","Maine -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",429,10673,276969469,0,0,499,25951,"",1.53,0.71,0.71,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1021","53","0","1990","A","","Maine -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",189,4682,128167995,0,0,526,27376,"",1.76,1.00,1.04,0.00,0.00,1.03,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1023","53","0","1990","A","","Maine -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",32,200,4870959,0,0,470,24416,"",2.83,1.13,1.02,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1024","53","0","1990","A","","Maine -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",9,63,2132479,0,0,653,33939,"",1.39,0.18,0.24,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1025","53","0","1990","A","","Maine -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",2,945,33496716,0,0,682,35443,"",0.70,0.73,0.99,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23000","1","1026","53","0","1990","A","","Maine -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",10,559,4494271,0,0,155,8036,"",1.88,1.75,1.12,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
