"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24031","0","10","70","0","1990","A","","Montgomery County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",22919,382044,10973164759,0,0,552,28722,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1628,7.6,-5664,-1.5,363565482,3.4,-2359895458,-100.0,-21605588,-100.0,26,4.9,1358,5.0
"24031","1","10","71","0","1990","A","","Montgomery County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,42713,1584627155,0,0,713,37099,"",0.19,3.78,3.80,0.00,0.00,1.01,1.01,"",1,3.1,1004,2.4,119665610,8.2,0,0.0,0,0.0,38,5.6,1976,5.6
"24031","1","102","72","0","1990","A","","Montgomery County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,42713,1584627155,0,0,713,37099,"",0.19,3.94,3.97,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","1021","73","0","1990","A","","Montgomery County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,3559,113533118,0,0,613,31900,"",0.05,1.06,0.90,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","1024","73","0","1990","A","","Montgomery County, Maryland","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,17,807404,0,0,909,47263,"",0.25,0.07,0.09,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","1025","73","0","1990","A","","Montgomery County, Maryland","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1644,51827325,0,0,606,31519,"",0.56,1.77,1.49,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","1028","73","0","1990","A","","Montgomery County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",27,35059,1323136873,0,0,726,37740,"",0.30,5.99,6.11,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","44-45","74","0","1990","A","","Montgomery County, Maryland","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,390,4597374,0,0,227,11803,"",1.81,1.62,1.26,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","452","75","0","1990","A","","Montgomery County, Maryland","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,390,4597374,0,0,227,11803,"",2.17,1.74,1.45,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24031","1","4521","76","0","1990","A","","Montgomery County, Maryland","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,390,4597374,0,0,227,11803,"",4.77,3.05,2.54,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
