"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24047","0","10","70","0","1990","A","","Worcester County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1748,20130,303959002,0,0,290,15100,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",48,2.8,166,0.8,14892996,5.2,-128559204,-100.0,-2165967,-100.0,12,4.3,621,4.3
"24047","1","10","71","0","1990","A","","Worcester County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,179,4057981,0,0,437,22723,"",0.30,0.30,0.35,0.00,0.00,1.17,1.17,"",0,0.0,13,7.8,-34185,-0.8,0,0.0,0,0.0,-37,-7.8,-1928,-7.8
"24047","1","102","72","0","1990","A","","Worcester County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,179,4057981,0,0,437,22723,"",0.30,0.31,0.37,0.00,0.00,1.18,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","1021","73","0","1990","A","","Worcester County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,94,2581797,0,0,527,27393,"",0.20,0.53,0.73,0.00,0.00,1.39,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","1026","73","0","1990","A","","Worcester County, Maryland","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,43,408259,0,0,182,9476,"",3.97,3.54,3.58,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","1028","73","0","1990","A","","Worcester County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,41,1067925,0,0,498,25889,"",0.29,0.13,0.18,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","48-49","74","0","1990","A","","Worcester County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,94,2581797,0,0,527,27393,"",0.20,0.58,0.78,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","491","75","0","1990","A","","Worcester County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,94,2581797,0,0,527,27393,"",0.21,0.61,0.83,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","4911","76","0","1990","A","","Worcester County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,94,2581797,0,0,527,27393,"",0.21,0.61,0.83,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24047","1","49111","77","0","1990","A","","Worcester County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,94,2581797,0,0,527,27393,"",0.21,0.61,0.83,0.00,0.00,1.35,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
