"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26111","0","10","70","0","1990","A","","Midland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1332,32961,963686693,0,0,562,29237,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",74,5.9,1393,4.4,43690846,4.7,-241818266,-100.0,-7673887,-100.0,2,0.4,94,0.3
"26111","1","10","71","0","1990","A","","Midland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,160,4459666,0,0,536,27858,"",1.28,0.16,0.12,0.00,0.00,0.74,0.74,"",2,18.2,10,6.7,476798,12.0,0,0.0,0,0.0,26,5.1,1306,4.9
"26111","1","102","72","0","1990","A","","Midland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,160,4459666,0,0,536,27858,"",1.29,0.17,0.13,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","1021","73","0","1990","A","","Midland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.55,0.49,0.38,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","1028","73","0","1990","A","","Midland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,19,273996,0,0,279,14484,"",1.34,0.04,0.01,0.00,0.00,0.39,0.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","48-49","74","0","1990","A","","Midland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.60,0.53,0.40,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","491","75","0","1990","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.63,0.56,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","4911","76","0","1990","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.63,0.56,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","49111","77","0","1990","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.63,0.56,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","491110","78","0","1990","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,141,4185670,0,0,570,29651,"",1.63,0.56,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","92","74","0","1990","A","","Midland County, Michigan","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,19,273996,0,0,279,14484,"",1.34,0.04,0.01,0.00,0.00,0.39,0.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","924","75","0","1990","A","","Midland County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,131551,0,0,410,21333,"",2.17,0.17,0.10,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","9241","76","0","1990","A","","Midland County, Michigan","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,131551,0,0,410,21333,"",2.17,0.17,0.10,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","92412","77","0","1990","A","","Midland County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,131551,0,0,410,21333,"",2.20,0.20,0.13,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","924120","78","0","1990","A","","Midland County, Michigan","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,131551,0,0,410,21333,"",2.20,0.20,0.13,0.00,0.00,0.61,0.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","926","75","0","1990","A","","Midland County, Michigan","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,142445,0,0,215,11172,"",1.90,0.17,0.05,0.00,0.00,0.32,0.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26111","1","9261","76","0","1990","A","","Midland County, Michigan","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,142445,0,0,215,11172,"",1.90,0.17,0.05,0.00,0.00,0.32,0.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
