"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27019","0","10","70","0","1990","A","","Carver County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1013,16975,379377649,0,0,430,22349,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",63,6.6,2228,15.1,64076011,20.3,-134096156,-100.0,-2464777,-100.0,19,4.6,969,4.5
"27019","1","10","71","0","1990","A","","Carver County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,111,2770497,0,0,480,24941,"",1.82,0.22,0.19,0.00,0.00,0.87,0.87,"",2,16.7,39,54.2,936507,51.1,0,0.0,0,0.0,-9,-1.8,-531,-2.1
"27019","1","102","72","0","1990","A","","Carver County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,111,2770497,0,0,480,24941,"",1.83,0.23,0.20,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","1021","73","0","1990","A","","Carver County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.74,0.69,0.60,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","1028","73","0","1990","A","","Carver County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,154624,0,0,392,20390,"",0.75,0.03,0.02,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","48-49","74","0","1990","A","","Carver County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.86,0.77,0.63,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","491","75","0","1990","A","","Carver County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.93,0.81,0.67,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","4911","76","0","1990","A","","Carver County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.93,0.81,0.67,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","49111","77","0","1990","A","","Carver County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.93,0.81,0.67,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27019","1","491110","78","0","1990","A","","Carver County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,104,2615873,0,0,486,25274,"",3.93,0.81,0.67,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
