"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27105","0","10","70","0","1990","A","","Nobles County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",613,8935,141694041,0,0,305,15858,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,1.5,513,6.1,12311133,9.5,-66928952,-100.0,-1149714,-100.0,10,3.4,496,3.2
"27105","1","10","71","0","1990","A","","Nobles County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,117,2791945,0,0,457,23778,"",2.14,0.44,0.52,0.00,0.00,1.17,1.17,"",2,25.0,41,53.9,963886,52.7,0,0.0,0,0.0,-5,-1.1,-275,-1.1
"27105","1","102","72","0","1990","A","","Nobles County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,117,2791945,0,0,457,23778,"",2.16,0.46,0.54,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","1021","73","0","1990","A","","Nobles County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.37,0.79,0.88,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","1023","73","0","1990","A","","Nobles County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,99419,0,0,314,16343,"",5.33,2.02,1.57,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","1028","73","0","1990","A","","Nobles County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,49,1252308,0,0,491,25514,"",1.24,0.36,0.45,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","48-49","74","0","1990","A","","Nobles County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.48,0.87,0.93,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","491","75","0","1990","A","","Nobles County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.55,0.91,0.99,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","4911","76","0","1990","A","","Nobles County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.55,0.91,0.99,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","49111","77","0","1990","A","","Nobles County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.55,0.91,0.99,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","491110","78","0","1990","A","","Nobles County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,62,1440218,0,0,445,23136,"",3.55,0.91,0.99,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","52","74","0","1990","A","","Nobles County, Minnesota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,99419,0,0,314,16343,"",5.35,2.05,1.58,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","522","75","0","1990","A","","Nobles County, Minnesota","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,99419,0,0,314,16343,"",6.23,5.45,5.38,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","5222","76","0","1990","A","","Nobles County, Minnesota","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,99419,0,0,314,16343,"",6.24,5.46,5.39,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27105","1","52229","77","0","1990","A","","Nobles County, Minnesota","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,99419,0,0,314,16343,"",6.24,5.46,5.39,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
