"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27119","0","10","70","0","1990","A","","Polk County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",886,10456,169763813,0,0,312,16236,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,0.8,248,2.4,13655332,8.7,-62833656,-100.0,-2110046,-100.0,18,6.1,944,6.2
"27119","1","10","71","0","1990","A","","Polk County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,171,4184620,0,0,471,24483,"",2.52,0.55,0.65,0.00,0.00,1.18,1.17,"",1,6.2,51,42.5,1264738,43.3,0,0.0,0,0.0,4,0.9,151,0.6
"27119","1","102","72","0","1990","A","","Polk County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,171,4184620,0,0,471,24483,"",2.54,0.58,0.68,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","1021","73","0","1990","A","","Polk County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,104,2606011,0,0,483,25118,"",3.11,1.13,1.33,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","1023","73","0","1990","A","","Polk County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,486015,0,0,394,20464,"",7.37,6.89,6.41,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","1028","73","0","1990","A","","Polk County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,43,1092594,0,0,484,25165,"",2.01,0.27,0.33,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","48-49","74","0","1990","A","","Polk County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,104,2606011,0,0,483,25118,"",3.21,1.24,1.41,0.00,0.00,1.14,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","491","75","0","1990","A","","Polk County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,104,2606011,0,0,483,25118,"",3.27,1.31,1.50,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","4911","76","0","1990","A","","Polk County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,104,2606011,0,0,483,25118,"",3.27,1.31,1.50,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27119","1","49111","77","0","1990","A","","Polk County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,104,2606011,0,0,483,25118,"",3.27,1.31,1.50,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
