"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27153","0","10","70","0","1990","A","","Todd County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",487,5602,95552884,0,0,328,17056,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,3.2,187,3.5,8685653,10.0,-34620152,-100.0,-659989,-100.0,20,6.5,1015,6.3
"27153","1","10","71","0","1990","A","","Todd County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,82,2009372,0,0,469,24405,"",3.51,0.49,0.55,0.00,0.00,1.11,1.11,"",2,18.2,28,51.9,643748,47.1,0,0.0,0,0.0,-17,-3.5,-884,-3.5
"27153","1","102","72","0","1990","A","","Todd County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,82,2009372,0,0,469,24405,"",3.53,0.52,0.58,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","1021","73","0","1990","A","","Todd County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,57,1426199,0,0,478,24876,"",5.66,1.15,1.29,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","1023","73","0","1990","A","","Todd County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,94184,0,0,340,17660,"",6.71,2.68,2.21,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","1028","73","0","1990","A","","Todd County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,488989,0,0,478,24864,"",2.09,0.23,0.26,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","48-49","74","0","1990","A","","Todd County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,57,1426199,0,0,478,24876,"",5.83,1.27,1.37,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","491","75","0","1990","A","","Todd County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,57,1426199,0,0,478,24876,"",5.95,1.34,1.45,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","4911","76","0","1990","A","","Todd County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,57,1426199,0,0,478,24876,"",5.95,1.34,1.45,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27153","1","49111","77","0","1990","A","","Todd County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,57,1426199,0,0,478,24876,"",5.95,1.34,1.45,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
