"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28023","0","10","70","0","1990","A","","Clarke County, Mississippi","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",275,4604,74765657,0,0,312,16241,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.5,54,1.2,5380781,7.8,-27694207,-100.0,-453550,-100.0,19,6.5,992,6.5
"28023","1","10","71","0","1990","A","","Clarke County, Mississippi","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,46,1015231,0,0,421,21872,"",5.73,0.34,0.36,0.00,0.00,1.05,1.05,"",1,9.1,3,7.0,125913,14.2,0,0.0,0,0.0,24,6.0,1191,5.8
"28023","1","102","72","0","1990","A","","Clarke County, Mississippi","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,46,1015231,0,0,421,21872,"",5.77,0.35,0.37,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","1021","73","0","1990","A","","Clarke County, Mississippi","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.26,0.71,0.79,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","1023","73","0","1990","A","","Clarke County, Mississippi","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",11.88,3.26,2.97,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","1028","73","0","1990","A","","Clarke County, Mississippi","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,12,231753,0,0,366,19048,"",5.55,0.17,0.16,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","48-49","74","0","1990","A","","Clarke County, Mississippi","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.46,0.79,0.84,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","491","75","0","1990","A","","Clarke County, Mississippi","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.59,0.83,0.89,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","4911","76","0","1990","A","","Clarke County, Mississippi","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.59,0.83,0.89,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","49111","77","0","1990","A","","Clarke County, Mississippi","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.59,0.83,0.89,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","491110","78","0","1990","A","","Clarke County, Mississippi","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,29,684204,0,0,456,23730,"",6.59,0.83,0.89,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","52","74","0","1990","A","","Clarke County, Mississippi","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",11.93,3.32,3.00,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","522","75","0","1990","A","","Clarke County, Mississippi","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",13.89,8.81,10.17,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","5222","76","0","1990","A","","Clarke County, Mississippi","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",13.92,8.83,10.20,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","52229","77","0","1990","A","","Clarke County, Mississippi","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",13.92,8.83,10.20,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","522292","78","0","1990","A","","Clarke County, Mississippi","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,99274,0,0,352,18328,"",30.43,18.51,21.97,0.00,0.00,1.09,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","92","74","0","1990","A","","Clarke County, Mississippi","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,12,231753,0,0,366,19048,"",5.55,0.17,0.16,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","924","75","0","1990","A","","Clarke County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,118391,0,0,471,24495,"",7.01,1.04,1.20,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28023","1","9241","76","0","1990","A","","Clarke County, Mississippi","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,118391,0,0,471,24495,"",7.01,1.04,1.20,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
