"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29000","0","10","50","0","1990","A","","Missouri -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",135747,2280202,49452557757,0,0,417,21688,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6815,5.3,24472,1.1,2308623366,4.9,-12766948279,-100.0,-190022821,-100.0,16,4.0,789,3.8
"29000","1","10","51","0","1990","A","","Missouri -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",1635,72323,2096355644,0,0,557,28986,"",1.58,1.07,1.12,0.00,0.00,1.04,1.04,"",19,1.2,174,0.2,140646874,7.2,0,0.0,0,0.0,36,6.9,1880,6.9
"29000","1","102","52","0","1990","A","","Missouri -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1617,71933,2088101984,0,0,558,29029,"",1.57,1.11,1.16,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1021","53","0","1990","A","","Missouri -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",697,20799,661471812,0,0,612,31803,"",1.77,1.03,1.16,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1022","53","0","1990","A","","Missouri -- Statewide","Federal Government","Information","State, by Supersector -- by ownership sector","All establishment sizes",1,15,514209,0,0,648,33719,"",0.70,0.06,0.06,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1023","53","0","1990","A","","Missouri -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",84,1995,59858164,0,0,577,30004,"",2.02,2.63,2.71,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1024","53","0","1990","A","","Missouri -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",10,959,30734859,0,0,616,32049,"",0.42,0.65,0.76,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1025","53","0","1990","A","","Missouri -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",6,6023,191298269,0,0,611,31762,"",0.57,1.09,1.22,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1026","53","0","1990","A","","Missouri -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",7,216,4834745,0,0,430,22357,"",0.36,0.16,0.26,0.00,0.00,1.65,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29000","1","1028","53","0","1990","A","","Missouri -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",812,41926,1139389926,0,0,523,27177,"",1.52,1.20,1.17,0.00,0.00,0.98,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
