"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29027","0","10","70","0","1990","A","","Callaway County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",660,11827,228540262,0,0,372,19323,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",52,8.6,161,1.4,10096772,4.6,-56823432,-100.0,-861492,-100.0,12,3.3,599,3.2
"29027","1","10","71","0","1990","A","","Callaway County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,195,4869336,0,0,481,25024,"",4.18,0.56,0.56,0.00,0.00,1.01,1.01,"",1,5.0,-3,-1.5,222750,4.8,0,0.0,0,0.0,30,6.7,1557,6.6
"29027","1","102","72","0","1990","A","","Callaway County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,183,4687940,0,0,493,25629,"",4.00,0.55,0.56,0.00,0.00,1.03,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","1021","73","0","1990","A","","Callaway County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.17,0.84,0.75,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","1028","73","0","1990","A","","Callaway County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,92,2634859,0,0,554,28796,"",4.24,0.51,0.58,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","48-49","74","0","1990","A","","Callaway County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.30,0.93,0.80,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","491","75","0","1990","A","","Callaway County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.39,0.98,0.85,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","4911","76","0","1990","A","","Callaway County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.39,0.98,0.85,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","49111","77","0","1990","A","","Callaway County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.39,0.98,0.85,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","491110","78","0","1990","A","","Callaway County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,88,1984521,0,0,436,22680,"",4.39,0.98,0.85,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","92","74","0","1990","A","","Callaway County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,92,2634859,0,0,554,28796,"",4.24,0.51,0.58,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","922","75","0","1990","A","","Callaway County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,12044,0,0,463,24088,"",5.37,0.08,0.03,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","9221","76","0","1990","A","","Callaway County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,12044,0,0,463,24088,"",5.37,0.08,0.03,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","92219","77","0","1990","A","","Callaway County, Missouri","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,12044,0,0,463,24088,"",37.98,3.48,1.43,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","922190","78","0","1990","A","","Callaway County, Missouri","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,12044,0,0,463,24088,"",37.98,3.48,1.43,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","923","75","0","1990","A","","Callaway County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,653001,0,0,631,32787,"",9.79,1.32,1.60,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","9231","76","0","1990","A","","Callaway County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,653001,0,0,631,32787,"",9.79,1.32,1.60,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","92313","77","0","1990","A","","Callaway County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,17,517923,0,0,604,31389,"",6.66,1.99,2.41,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29027","1","923130","78","0","1990","A","","Callaway County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,17,517923,0,0,604,31389,"",6.66,1.99,2.41,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
