"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29029","0","10","70","0","1990","A","","Camden County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1156,10928,148678575,0,0,262,13606,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",118,11.4,750,7.4,12408611,9.1,-62000748,-100.0,-1328947,-100.0,5,1.9,218,1.6
"29029","1","10","71","0","1990","A","","Camden County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,60,1356790,0,0,435,22613,"",1.25,0.19,0.24,0.00,0.00,1.29,1.29,"",1,10.0,2,3.4,164285,13.8,0,0.0,0,0.0,40,10.1,2053,10.0
"29029","1","102","72","0","1990","A","","Camden County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,60,1356790,0,0,435,22613,"",1.26,0.19,0.25,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","1021","73","0","1990","A","","Camden County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.38,0.53,0.68,0.00,0.00,1.30,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","1028","73","0","1990","A","","Camden County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,188496,0,0,382,19842,"",0.66,0.06,0.06,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","48-49","74","0","1990","A","","Camden County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.46,0.58,0.72,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","491","75","0","1990","A","","Camden County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.51,0.61,0.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","4911","76","0","1990","A","","Camden County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.51,0.61,0.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","49111","77","0","1990","A","","Camden County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.51,0.61,0.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","491110","78","0","1990","A","","Camden County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,51,1168294,0,0,445,23135,"",2.51,0.61,0.77,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","92","74","0","1990","A","","Camden County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,188496,0,0,382,19842,"",0.66,0.06,0.06,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","924","75","0","1990","A","","Camden County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,68912,0,0,663,34456,"",0.83,0.17,0.35,0.00,0.00,2.02,2.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","9241","76","0","1990","A","","Camden County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,68912,0,0,663,34456,"",0.83,0.17,0.35,0.00,0.00,2.02,2.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","92412","77","0","1990","A","","Camden County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,68912,0,0,663,34456,"",0.85,0.20,0.43,0.00,0.00,2.12,2.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","924120","78","0","1990","A","","Camden County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,68912,0,0,663,34456,"",0.85,0.20,0.43,0.00,0.00,2.12,2.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","926","75","0","1990","A","","Camden County, Missouri","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,119584,0,0,307,15945,"",1.10,0.31,0.29,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","9261","76","0","1990","A","","Camden County, Missouri","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,119584,0,0,307,15945,"",1.10,0.31,0.29,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","92611","77","0","1990","A","","Camden County, Missouri","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,92884,0,0,261,13593,"",1.83,0.51,0.63,0.00,0.00,1.24,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29029","1","926110","78","0","1990","A","","Camden County, Missouri","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,92884,0,0,261,13593,"",1.83,0.51,0.63,0.00,0.00,1.24,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
