"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29051","0","10","70","0","1990","A","","Cole County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1838,39229,786618177,0,0,386,20052,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",62,3.5,1582,4.2,71199601,10.0,-135699305,-100.0,-2161991,-100.0,21,5.8,1049,5.5
"29051","1","10","71","0","1990","A","","Cole County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,531,15030329,0,0,544,28292,"",1.79,0.46,0.50,0.00,0.00,1.10,1.10,"",1,4.2,-6,-1.1,815366,5.7,0,0.0,0,0.0,35,6.9,1821,6.9
"29051","1","102","72","0","1990","A","","Cole County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,530,14988906,0,0,544,28268,"",1.73,0.48,0.52,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","1021","73","0","1990","A","","Cole County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.94,0.37,0.41,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","1028","73","0","1990","A","","Cole County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",19,403,11223711,0,0,536,27862,"",2.63,0.67,0.72,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","48-49","74","0","1990","A","","Cole County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.97,0.40,0.44,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","491","75","0","1990","A","","Cole County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.99,0.43,0.47,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","4911","76","0","1990","A","","Cole County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.99,0.43,0.47,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","49111","77","0","1990","A","","Cole County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.99,0.43,0.47,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","491110","78","0","1990","A","","Cole County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,127,3765195,0,0,568,29550,"",0.99,0.43,0.47,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","92","74","0","1990","A","","Cole County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",19,403,11223711,0,0,536,27862,"",2.63,0.67,0.72,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","921","75","0","1990","A","","Cole County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,606297,0,0,736,38292,"",1.72,0.17,0.26,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","9211","76","0","1990","A","","Cole County, Missouri","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,606297,0,0,736,38292,"",1.72,0.17,0.26,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","92113","77","0","1990","A","","Cole County, Missouri","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,606297,0,0,736,38292,"",2.71,0.29,0.44,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","921130","78","0","1990","A","","Cole County, Missouri","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,606297,0,0,736,38292,"",2.71,0.29,0.44,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","922","75","0","1990","A","","Cole County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11,372475,0,0,682,35474,"",7.72,0.28,0.31,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","9221","76","0","1990","A","","Cole County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,11,372475,0,0,682,35474,"",7.72,0.28,0.31,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","92211","77","0","1990","A","","Cole County, Missouri","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,116169,0,0,496,25815,"",7.90,0.57,0.49,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","922110","78","0","1990","A","","Cole County, Missouri","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,116169,0,0,496,25815,"",7.90,0.57,0.49,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","92212","77","0","1990","A","","Cole County, Missouri","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,256306,0,0,821,42718,"",8.55,0.58,0.74,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","922120","78","0","1990","A","","Cole County, Missouri","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,256306,0,0,821,42718,"",8.55,0.58,0.74,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29051","1","92219","77","0","1990","A","","Cole County, Missouri","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.64,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
