"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29101","0","10","70","0","1990","A","","Johnson County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",766,11972,192548181,0,0,309,16084,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",47,6.5,115,1.0,7171286,3.9,-50222122,-100.0,-801017,-100.0,9,3.0,450,2.9
"29101","1","10","71","0","1990","A","","Johnson County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,1055,22169088,0,0,404,21007,"",3.77,2.98,3.03,0.00,0.00,1.02,1.02,"",1,4.8,-2,-0.2,1078813,5.1,0,0.0,0,0.0,21,5.5,1055,5.3
"29101","1","102","72","0","1990","A","","Johnson County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,1055,22169088,0,0,404,21007,"",3.79,3.11,3.17,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","1021","73","0","1990","A","","Johnson County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.15,0.79,0.97,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","1028","73","0","1990","A","","Johnson County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,963,19777931,0,0,395,20540,"",4.32,5.25,5.21,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","48-49","74","0","1990","A","","Johnson County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.25,0.87,1.03,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","491","75","0","1990","A","","Johnson County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.31,0.91,1.09,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","4911","76","0","1990","A","","Johnson County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.31,0.91,1.09,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","49111","77","0","1990","A","","Johnson County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.31,0.91,1.09,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","491110","78","0","1990","A","","Johnson County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,83,2155622,0,0,502,26102,"",3.31,0.91,1.09,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","92","74","0","1990","A","","Johnson County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,963,19777931,0,0,395,20540,"",4.32,5.25,5.21,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29101","1","923","75","0","1990","A","","Johnson County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,243647,0,0,469,24365,"",4.22,0.65,0.71,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
