"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29197","0","10","70","0","1990","A","","Schuyler County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",114,640,8581974,0,0,258,13411,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,7.5,33,5.4,949072,12.4,-2167848,-100.0,-32789,-100.0,17,7.1,837,6.7
"29197","1","10","71","0","1990","A","","Schuyler County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,35,662054,0,0,367,19098,"",10.37,1.85,2.03,0.00,0.00,1.11,1.11,"",1,12.5,2,6.1,88638,15.5,0,0.0,0,0.0,33,9.9,1722,9.9
"29197","1","102","72","0","1990","A","","Schuyler County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,35,662054,0,0,367,19098,"",10.43,1.93,2.12,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","1021","73","0","1990","A","","Schuyler County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.09,4.43,4.64,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","1028","73","0","1990","A","","Schuyler County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,7,163530,0,0,439,22818,"",8.93,0.71,0.97,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","48-49","74","0","1990","A","","Schuyler County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.46,4.88,4.91,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","491","75","0","1990","A","","Schuyler County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.71,5.14,5.22,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","4911","76","0","1990","A","","Schuyler County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.71,5.14,5.22,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","49111","77","0","1990","A","","Schuyler County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.71,5.14,5.22,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","491110","78","0","1990","A","","Schuyler County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,25,459947,0,0,361,18773,"",12.71,5.14,5.22,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","92","74","0","1990","A","","Schuyler County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,7,163530,0,0,439,22818,"",8.93,0.71,0.97,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","924","75","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,142038,0,0,462,24006,"",16.91,8.95,12.59,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","9241","76","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,142038,0,0,462,24006,"",16.91,8.95,12.59,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","92412","77","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,142038,0,0,462,24006,"",17.16,10.32,15.23,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","924120","78","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,142038,0,0,462,24006,"",17.16,10.32,15.23,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","926","75","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,1,21492,0,0,331,17194,"",11.13,0.65,0.89,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","9261","76","0","1990","A","","Schuyler County, Missouri","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,1,21492,0,0,331,17194,"",11.13,0.65,0.89,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","92614","77","0","1990","A","","Schuyler County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,14448,0,0,556,28896,"",9.70,3.28,2.66,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","1","926140","78","0","1990","A","","Schuyler County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,14448,0,0,556,28896,"",9.70,3.28,2.66,0.00,0.00,1.62,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","102","72","0","1990","A","","Schuyler County, Missouri","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,240,3101096,0,0,249,12926,"",7.51,3.90,3.75,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","1025","73","0","1990","A","","Schuyler County, Missouri","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,182,2670389,0,0,282,14686,"",8.60,4.75,5.29,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","1028","73","0","1990","A","","Schuyler County, Missouri","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,53,387462,0,0,140,7288,"",8.94,2.91,1.55,0.00,0.00,0.53,0.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","92","74","0","1990","A","","Schuyler County, Missouri","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,53,387462,0,0,140,7288,"",8.94,2.91,1.55,0.00,0.00,0.53,0.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","921","75","0","1990","A","","Schuyler County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,47,333023,0,0,136,7061,"",9.29,3.73,2.11,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","3","9211","76","0","1990","A","","Schuyler County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,47,333023,0,0,136,7061,"",9.29,3.73,2.11,0.00,0.00,0.56,0.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","10","71","0","1990","A","","Schuyler County, Missouri","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",85,331,4167049,0,0,242,12580,"",0.77,0.62,0.59,0.00,0.00,0.95,0.95,"",6,7.6,22,7.1,603161,16.9,-1855686,-100.0,-26157,-100.0,21,9.5,1047,9.1
"29197","5","101","72","0","1990","A","","Schuyler County, Missouri","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",12,24,244210,0,0,198,10319,"",0.55,0.16,0.11,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","1012","73","0","1990","A","","Schuyler County, Missouri","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",9,15,159793,0,0,208,10833,"",0.73,0.49,0.35,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","102","72","0","1990","A","","Schuyler County, Missouri","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",73,308,3922839,0,0,245,12754,"",0.83,0.79,0.81,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","1021","73","0","1990","A","","Schuyler County, Missouri","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",45,185,2245671,0,0,234,12172,"",1.50,1.40,1.40,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","1023","73","0","1990","A","","Schuyler County, Missouri","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",7,35,481025,0,0,262,13614,"",0.71,0.88,0.74,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","23","74","0","1990","A","","Schuyler County, Missouri","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",9,15,159793,0,0,208,10833,"",0.73,0.49,0.35,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","44-45","74","0","1990","A","","Schuyler County, Missouri","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",24,120,1139989,0,0,182,9480,"",1.35,1.52,1.64,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","445","75","0","1990","A","","Schuyler County, Missouri","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,25,206539,0,0,157,8180,"",2.09,1.57,1.67,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","447","75","0","1990","A","","Schuyler County, Missouri","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,37,287290,0,0,149,7765,"",3.34,6.92,8.40,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","4471","76","0","1990","A","","Schuyler County, Missouri","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,37,287290,0,0,149,7765,"",3.34,6.92,8.40,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29197","5","48-49","74","0","1990","A","","Schuyler County, Missouri","Private","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,25,263064,0,0,202,10523,"",4.65,1.34,0.96,0.00,0.00,0.71,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
