"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30057","0","10","70","0","1990","A","","Madison County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",256,1471,23038635,0,0,301,15662,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.6,57,4.0,1728090,8.1,-14284698,-100.0,-189396,-100.0,12,4.2,591,3.9
"30057","1","10","71","0","1990","A","","Madison County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,88,1711031,0,0,373,19388,"",7.18,2.02,1.95,0.00,0.00,0.97,0.96,"",0,0.0,3,3.5,159624,10.3,0,0.0,0,0.0,23,6.6,1137,6.2
"30057","1","102","72","0","1990","A","","Madison County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,88,1711031,0,0,373,19388,"",7.23,2.11,2.04,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","1021","73","0","1990","A","","Madison County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.42,1.77,1.74,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","1028","73","0","1990","A","","Madison County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,65,1247413,0,0,370,19240,"",6.96,2.88,2.74,0.00,0.00,0.96,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","48-49","74","0","1990","A","","Madison County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.71,1.95,1.84,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","491","75","0","1990","A","","Madison County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.90,2.06,1.96,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","4911","76","0","1990","A","","Madison County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.90,2.06,1.96,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","49111","77","0","1990","A","","Madison County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.90,2.06,1.96,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30057","1","491110","78","0","1990","A","","Madison County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,23,463618,0,0,381,19799,"",9.90,2.06,1.96,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
