"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30069","0","10","70","0","1990","A","","Petroleum County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13,64,859886,0,0,259,13453,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-13.3,7,12.3,53332,6.6,-731837,-100.0,-3973,-100.0,-13,-4.8,-697,-4.9
"30069","1","10","71","0","1990","A","","Petroleum County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",10.10,1.06,1.06,0.00,0.00,1.00,1.01,"",0,0.0,0,0.0,1747,5.3,0,0.0,0,0.0,17,5.4,874,5.3
"30069","1","102","72","0","1990","A","","Petroleum County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",10.16,1.10,1.11,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","1021","73","0","1990","A","","Petroleum County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",26.49,3.54,3.50,0.00,0.00,0.98,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","48-49","74","0","1990","A","","Petroleum County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",27.32,3.90,3.70,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","491","75","0","1990","A","","Petroleum County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",27.86,4.11,3.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","4911","76","0","1990","A","","Petroleum County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",27.86,4.11,3.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","49111","77","0","1990","A","","Petroleum County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",27.86,4.11,3.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","1","491110","78","0","1990","A","","Petroleum County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,34753,0,0,334,17377,"",27.86,4.11,3.94,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30069","5","10","71","0","1990","A","","Petroleum County, Montana","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,11,142979,0,0,256,13300,"",0.56,0.21,0.20,0.00,0.00,1.00,1.00,"",-2,-22.2,4,57.1,35800,33.4,-65468,-100.0,-1547,-100.0,-38,-12.9,-2011,-13.1
